_id,ltable_ID,rtable_ID,ltable_Name,ltable_Author,ltable_Publisher,ltable_Publishing_Date,ltable_Format,ltable_Pages,ltable_Rating,rtable_Name,rtable_Author,rtable_Publisher,rtable_Publishing_Date,rtable_Format,rtable_Pages,rtable_Rating
22,401,285,"Official Final Fantasy VII Strategy Guide, Playstation Version (v. 1)",David Cassady,BRADY GAMES,1997-8-28,Paperback,224.0,4.3,Final Fantasy VII: Official Strategy Guide,David Cassady,Bradygames,1998-06-12,Paperback,319.0,3.7
23,478,285,Final Fantasy VII Official Strategy Guide (Official Strategy Guides) (v. 2),David Cassady,BRADY GAMES,1998-6-12,Kindle,320.0,4.3,Final Fantasy VII: Official Strategy Guide,David Cassady,Bradygames,1998-06-12,Paperback,319.0,3.7
24,262,357,"The Anatomy of National Fantasy: Hawthorne, Utopia, and Everyday Life",Lauren Berlant,University of Chicago Press,1991-8-13,Kindle,278.0,4.0,"The Anatomy of National Fantasy: Hawthorne, Utopia, and Everyday Life",Lauren Berlant,University Of Chicago Press,1991-08-13,Paperback,278.0,3.71
25,611,360,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"Fantasy & Science Fiction, November/December 2011",Gordon Van Gelder,"Spilogale, Inc.",2011-11-01,Paperback,258.0,3.4
26,631,369,The Writer's Guide to Fantasy Literature: From Dragon's Lair to Hero's Quest,Philip Martin,Kalmbach Publishing Co.,2002-1-1,Hardcover,192.0,4.8,The Writer's Guide to Fantasy Literature: From Dragon's Lair to Hero's Quest,Philip Martin,Watson-Guptill Publications,2002-01-01,Paperback,240.0,3.83
27,657,405,Manga Mania Fantasy Worlds: How to Draw the Amazing Worlds of Japanese Comics,Christopher Hart,Watson-Guptill,2003-9-1,Kindle,144.0,3.8,Manga Mania Fantasy Worlds: How to Draw the Enchanted Worlds of Japanese Comics,Christopher Hart,Watson-Guptill,2003-09-01,Paperback,144.0,3.34
28,484,407,Dreamscapes Fantasy Worlds: Create Engaging Scenes and Landscapes in Watercolor,Stephanie Pui-Mun Law,IMPACT Books,2014-12-23,Paperback,176.0,4.9,Dreamscapes Magical Menagerie: Creating Fantasy Creatures and Animals with Watercolor,Stephanie Pui-Mun Law,Impact,2012-07-20,Paperback,176.0,4.69
29,100,407,Dreamscapes Magical Menagerie: Creating Fantasy Creatures and Animals with Watercolor,Stephanie Pui-Mun Law,IMPACT Books,2012-7-20,Kindle,176.0,4.9,Dreamscapes Magical Menagerie: Creating Fantasy Creatures and Animals with Watercolor,Stephanie Pui-Mun Law,Impact,2012-07-20,Paperback,176.0,4.69
30,221,407,"Dreamscapes: Creating Magical Angel, Faery & Mermaid Worlds In Watercolor",Stephanie Pui-Mun Law,Impact,2008-2-15,Hardcover,176.0,4.8,Dreamscapes Magical Menagerie: Creating Fantasy Creatures and Animals with Watercolor,Stephanie Pui-Mun Law,Impact,2012-07-20,Paperback,176.0,4.69
31,3101,419,Sharpe's Trafalgar (The Sharpe Series),Bernard Cornwell,Harper,2011-9-1,Kindle,384.0,4.5,"Sharpe's Fortress : Richard Sharpe & the Siege of Gawilghur, December 1803",Bernard Cornwell,HarperCollins,2007-01-01,Mass Market Paperback,,4.12
32,3024,419,Sharpe's Havoc (The Sharpe Series),Bernard Cornwell,Harper,2011-9-1,Hardcover,368.0,4.5,"Sharpe's Fortress : Richard Sharpe & the Siege of Gawilghur, December 1803",Bernard Cornwell,HarperCollins,2007-01-01,Mass Market Paperback,,4.12
33,3073,419,"Sharpe's Gold: Richard Sharpe and the Destruction of Almeida, August 1810 (The Sharpe Series)",Bernard Cornwell,Harper,2012-3-1,Hardcover,304.0,4.3,"Sharpe's Fortress : Richard Sharpe & the Siege of Gawilghur, December 1803",Bernard Cornwell,HarperCollins,2007-01-01,Mass Market Paperback,,4.12
34,3124,419,Sharpe's Eagle (The Sharpe Series),Bernard Cornwell,Harper,2011-9-1,Hardcover,336.0,4.5,"Sharpe's Fortress : Richard Sharpe & the Siege of Gawilghur, December 1803",Bernard Cornwell,HarperCollins,2007-01-01,Mass Market Paperback,,4.12
35,3033,419,Sharpe's Rifles (The Sharpe Series),Bernard Cornwell,Harper,2011-9-1,Paperback,352.0,4.5,"Sharpe's Fortress : Richard Sharpe & the Siege of Gawilghur, December 1803",Bernard Cornwell,HarperCollins,2007-01-01,Mass Market Paperback,,4.12
38,655,435,Great Short Novels of Adult Fantasy,Lin Carter,Ballantine Books,,Paperback,248.0,4.0,Great Short Novels of Adult Fantasy Volume II,Lin Carter,Ballantine Books,,Mass Market Paperback,248.0,3.91
39,657,441,Manga Mania Fantasy Worlds: How to Draw the Amazing Worlds of Japanese Comics,Christopher Hart,Watson-Guptill,2003-9-1,Kindle,144.0,3.8,Manga Mania Magical Girls and Friends: How to Draw the Super-Popular Action Fantasy Characters of Manga,Christopher Hart,Watson-Guptill,2006-11-01,Paperback,144.0,3.9
40,156,444,Draw Alien Fantasies: A step-by-step guide,Damon J. Reinagle,"Peel Productions, Incorporated",2015-2-5,Hardcover,64.0,4.9,Draw Medieval Fantasies,Damon J. Reinagle,Peel Productions,2000-09-30,Paperback,,3.8
42,1058,447,The Mammoth Book of Comic Fantasy (Mammoth Books),Mike Ashley,Running Press,1998-5-10,Hardcover,512.0,1.9,The Mammoth Book of Great Fantasy,Mike Ashley,Robinson Publishing,2001-09-27,Paperback,512.0,3.43
43,611,448,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"Fantasy & Science Fiction, May/June 2012",Gordon Van Gelder,"Spilogale, Inc.",2012-03-01,Paperback,260.0,3.58
44,699,477,Fantasy Football for Smart People: How Fantasy Football Pros Game Plan to Win,Jonathan Bales,CreateSpace Independent Publishing Platform,2014-5-30,Paperback,228.0,4.0,Fantasy Football for Smart People: A Guide to Winning at Daily Fantasy Sports,Jonathan Bales,,,Kindle Edition,178.0,3.39
45,142,477,Fantasy Baseball for Smart People: The Art (and Science) of Being Contrarian in DFS,Jonathan Bales,CreateSpace Independent Publishing Platform,2016-3-6,Paperback,162.0,4.9,Fantasy Football for Smart People: A Guide to Winning at Daily Fantasy Sports,Jonathan Bales,,,Kindle Edition,178.0,3.39
46,598,477,Fantasy Football (and Baseball) for Smart People: How to Turn Your Hobby into a Fortune,Jonathan Bales,CreateSpace Independent Publishing Platform,2013-12-5,Paperback,224.0,4.4,Fantasy Football for Smart People: A Guide to Winning at Daily Fantasy Sports,Jonathan Bales,,,Kindle Edition,178.0,3.39
47,214,477,Fantasy Football for Smart People: How to Dominate Your Draft,Jonathan Bales,CreateSpace Independent Publishing Platform,2012-5-26,Kindle,132.0,4.0,Fantasy Football for Smart People: A Guide to Winning at Daily Fantasy Sports,Jonathan Bales,,,Kindle Edition,178.0,3.39
48,28,477,Fantasy Baseball for Smart People: How to Profit Big During MLB Season,Jonathan Bales,CreateSpace Independent Publishing Platform,2015-2-16,Paperback,196.0,4.6,Fantasy Football for Smart People: A Guide to Winning at Daily Fantasy Sports,Jonathan Bales,,,Kindle Edition,178.0,3.39
49,98,477,Fantasy Football for Smart People: What the Experts Don't Want You to Know,Jonathan Bales,CreateSpace Independent Publishing Platform,2013-5-14,Kindle,226.0,3.9,Fantasy Football for Smart People: A Guide to Winning at Daily Fantasy Sports,Jonathan Bales,,,Kindle Edition,178.0,3.39
50,6,477,Fantasy Baseball for Smart People: How to Use Math and Psychology to Win at DFS,Jonathan Bales,CreateSpace Independent Publishing Platform,2017-3-23,Paperback,178.0,4.5,Fantasy Football for Smart People: A Guide to Winning at Daily Fantasy Sports,Jonathan Bales,,,Kindle Edition,178.0,3.39
51,518,478,The Fantasy Football Black Book 2017 (Fantasy Black Book),Joe Pisapia,Independently published,2017-6-23,Paperback,73.0,3.3,The Fantasy Baseball Black Book 2017 Edition (Fantasy Black Book 10),Joe Pisapia,,,Kindle Edition,182.0,3.88
52,5,478,The Fantasy Baseball Black Book 2018 (Fantasy Black Book),Joe Pisapia,Independently published,2018-1-13,Kindle,157.0,4.6,The Fantasy Baseball Black Book 2017 Edition (Fantasy Black Book 10),Joe Pisapia,,,Kindle Edition,182.0,3.88
53,168,478,The Fantasy Baseball Black Book 2017 Edition (Fantasy Black Book),Joe Pisapia,Independently published,2017-1-17,Paperback,182.0,4.1,The Fantasy Baseball Black Book 2017 Edition (Fantasy Black Book 10),Joe Pisapia,,,Kindle Edition,182.0,3.88
54,611,481,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"The Magazine of Fantasy & Science Fiction, Sept/Oct 2013",Gordon Van Gelder,"Spilogale, Inc.",2013-09-01,Kindle Edition,,3.5
55,400,515,Legends: Stories By The Masters of Modern Fantasy,Robert Silverberg,Tor Fantasy,,Hardcover,715.0,4.4,Fantasy: The Best of 2002,Robert Silverberg,iBooks,2003-05-01,Paperback,368.0,3.14
56,611,522,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"The Magazine of Fantasy & Science Fiction, November/December 2014",Gordon Van Gelder,"Spilogale, Inc.",2014-10-25,Kindle Edition,,3.71
57,337,532,Tarzan of the Apes (Penguin Classics),Edgar Rice Burroughs,Penguin Classics,1990-10-1,Hardcover,320.0,4.3,Tarzan: The Complete Adventures,Edgar Rice Burroughs,Trilogus Books,2011-02-14,Kindle Edition,5070.0,4.21
58,2798,532,Tarzan of the Apes,Edgar Rice Burroughs,Digireads.com,2016-1-4,Kindle,190.0,4.0,Tarzan: The Complete Adventures,Edgar Rice Burroughs,Trilogus Books,2011-02-14,Kindle Edition,5070.0,4.21
59,727,544,The Year's Best Fantasy Stories: 3 (Year's Best Fantasy),Lin Carter,DAW,1977-11-15,Kindle,240.0,2.0,The Year's Best Fantasy Stories 4,Lin Carter,DAW,1978-12-05,Paperback,208.0,3.92
60,611,550,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"Fantasy & Science Fiction, January/February 2012",Gordon Van Gelder,"Spilogale, Inc.",2012-01-01,Paperback,258.0,3.54
61,2926,586,Dragon Rampant: Fantasy Wargaming Rules (Osprey Wargames),Daniel Mersey,Osprey Games,2015-12-22,Kindle,64.0,4.7,Dragon Rampant: Fantasy Wargaming Rules,Daniel Mersey,Osprey Games,2015-12-22,Paperback,64.0,4.24
63,727,588,The Year's Best Fantasy Stories: 3 (Year's Best Fantasy),Lin Carter,DAW,1977-11-15,Kindle,240.0,2.0,The Year's Best Fantasy Stories 6,Lin Carter,DAW,1980-11-04,Mass Market Paperback,191.0,3.47
64,611,591,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"The Magazine of Fantasy & Science Fiction, September/October 2012",Gordon Van Gelder,"Spilogale, Inc",2012-09-01,Paperback,256.0,3.59
66,2695,608,El Borak and Other Desert Adventures,Robert E. Howard,Del Rey,2010-2-9,Kindle,592.0,4.7,El Borak and Other Desert Adventures,Robert E. Howard,Del Rey,2010-02-09,Paperback,592.0,4.21
67,244,612,The Rampart Guards: Chronicle One in the Adventures of Jason Lex,Wendy Terrien,Camashea Press,2016-2-26,Hardcover,284.0,4.6,The Rampart Guards,Wendy Terrien,Camashea Press,2016-02-26,Paperback,268.0,4.15
68,251,617,The Ultimate Guide to Sexual Fantasy: How to Turn Your Fantasies into Reality,Violet Blue,Cleis Press,2004-8-18,Hardcover,250.0,4.3,Sweet Life 2: Erotic Fantasies for Couples,Violet Blue,Cleis Press,2003-03-11,Paperback,225.0,3.83
69,1059,617,Sweet Life 2: Erotic Fantasies for Couples,Violet Blue,Cleis Press,,Paperback,225.0,3.6,Sweet Life 2: Erotic Fantasies for Couples,Violet Blue,Cleis Press,2003-03-11,Paperback,225.0,3.83
70,1284,623,Based on a True Story: Fact and Fantasy in 100 Favorite Movies,Jonathan Vankin,Chicago Review Press,2005-2-1,Paperback,512.0,3.9,Based on a True Story: Fact and Fantasy in 100 Favorite Movies,Jonathan Vankin,Chicago Review Press,2005-02-01,Paperback,512.0,3.66
71,650,629,Time and the Gods (Millennium Fantasy Masterworks),Lord Dunsany,Gollancz,2000-3-16,Paperback,592.0,4.1,Time and the Gods: The Classic Fantasy Collection (Illustrated Facsimile Reprint Edition),Lord Dunsany,Wildside Press,2012-01-31,Paperback,250.0,3.94
72,47,631,Sci-Fi & Fantasy Oil Painting Techniques,Patrick J. Jones,Korero Press,,Paperback,192.0,4.6,Sci-Fi  Fantasy Oil Painting Techniques,Patrick J. Jones,Korero Press,2014-08-01,Paperback,192.0,4.29
73,558,657,Final Fantasy Crystal Chronicles: Official Nintendo Power Guide,Nintendo of America,Nintendo of America,,Paperback,,4.8,Final Fantasy Tactics Advance,Nintendo of America,Nintendo of America,,Paperback,192.0,4.11
74,1080,657,Final Fantasy Tactics Advance,Nintendo of America,Nintendo of America,,Paperback,,3.5,Final Fantasy Tactics Advance,Nintendo of America,Nintendo of America,,Paperback,192.0,4.11
75,488,663,Fantasies of a Bollywood Love Thief: Inside the World of Indian Moviemaking,Stephen Alter,Mariner Books,2007-8-6,Kindle,260.0,4.7,Fantasies of a Bollywood Love Thief: Inside the World of Indian Moviemaking,Stephen Alter,Mariner Books,2007-08-06,Paperback,272.0,3.43
76,657,695,Manga Mania Fantasy Worlds: How to Draw the Amazing Worlds of Japanese Comics,Christopher Hart,Watson-Guptill,2003-9-1,Kindle,144.0,3.8,Astonishing Fantasy Worlds: The Ultimate Guide to Drawing Adventure Fantasy Art,Christopher Hart,Watson-Guptill,2008-09-30,Paperback,144.0,3.33
77,611,702,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"Fantasy & Science Fiction, March/April 2012",Gordon Van Gelder,"Spilogale, Inc.",2012-03-01,Paperback,258.0,3.61
78,2817,727,City of Masks: (An Epic Fantasy Novel) (Bone Mask Trilogy),Ashley Capes,Close-Up Books,2017-4-2,Paperback,490.0,4.4,City of Masks: An Epic Fantasy Novel,Ashley Capes,Snapping Turtle Books,2014-05-24,Kindle Edition,423.0,3.89
79,337,728,Tarzan of the Apes (Penguin Classics),Edgar Rice Burroughs,Penguin Classics,1990-10-1,Hardcover,320.0,4.3,The Resurrection of Jimber Jaw (Fantasy & Horror Classics),Edgar Rice Burroughs,,,Kindle Edition,,3.51
82,2221,740,"2: Dragons of Winter Night (Dragonlance Chronicles, Volume II)",Margaret Weis,Wizards of the Coast,2000-4-1,Hardcover,400.0,4.7,The Art of the Dungeons and Dragons Fantasy Game,Margaret Weis,TSR,1985-10-01,Paperback,127.0,4.12
84,2227,740,"Dragons of Spring Dawning (Dragonlance Chronicles, Book 3)",Margaret Weis,Wizards of the Coast,1999-11-1,Hardcover,384.0,4.6,The Art of the Dungeons and Dragons Fantasy Game,Margaret Weis,TSR,1985-10-01,Paperback,127.0,4.12
85,1911,740,"Dragons of Autumn Twilight (Dragonlance Chronicles, Volume I)",Margaret Weis,Wizards of the Coast,2000-2-1,Paperback,448.0,4.6,The Art of the Dungeons and Dragons Fantasy Game,Margaret Weis,TSR,1985-10-01,Paperback,127.0,4.12
88,607,767,Fantasy Begins: Book 1 of The Dungeon Hive Trilogy (Volume 1),Roy Lim,CreateSpace Independent Publishing Platform,2017-8-29,Kindle,338.0,3.7,Fantasy Begins: Book 1 of the Dungeon Hive Trilogy,Roy Lim,,,Kindle Edition,337.0,3.87
89,1079,776,Get Started in: Writing Science Fiction and Fantasy (Teach Yourself),Adam Roberts,Teach Yourself,2014-6-27,Kindle,256.0,5.0,Get Started in: Writing Science Fiction and Fantasy,Adam Roberts,Teach Yourself,2014-06-27,Paperback,256.0,4.14
90,2825,790,"The Wonderful World of Oz: The Wizard of Oz, The Emerald City of Oz, Glinda of Oz (Classic, 20th-Century, Penguin)",L. Frank Baum,Penguin Classics,1998-8-1,Hardcover,389.0,4.6,"The Magic Of Oz: A Faithful Record Of The Remarkable Adventures Of Dorothy And Trot And The Wizard Of Oz, Together With The Cowardly Lion, The Hungry ... And Beautiful Birthday Present For Princes",L. Frank Baum,Nabu Press,2010-03-04,Paperback,272.0,3.94
91,1011,802,Her Wicked Fantasy,Taylor Johns,CreateSpace Independent Publishing Platform,2016-11-12,Paperback,370.0,4.9,Her Wicked Fantasy,Taylor Johns,,,,,4.48
92,611,810,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"The Magazine of Fantasy and Science Fiction, May/June 2013",Gordon Van Gelder,"Spilogale, Inc.",2013-05-01,Kindle Edition,258.0,3.59
93,611,811,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"Fantasy & Science Fiction, Nov/Dec 2012",Gordon Van Gelder,"Spilogale, Inc.",2012-11-01,Paperback,260.0,3.69
94,657,842,Manga Mania Fantasy Worlds: How to Draw the Amazing Worlds of Japanese Comics,Christopher Hart,Watson-Guptill,2003-9-1,Kindle,144.0,3.8,Manga Mania™: Fantasy Sketchbook,Christopher Hart,Chris Hart Books,2007-10-01,Hardcover,144.0,3.38
95,263,844,Chaos Rises: A Veil World Urban Fantasy (Volume 1),Pippa DaCosta,CreateSpace Independent Publishing Platform,2016-6-4,Kindle,288.0,4.3,Chaos Rises: A Veil World Urban Fantasy,Pippa DaCosta,Createspace Independent Publishing Platform,2016-06-04,Paperback,290.0,3.85
96,611,846,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"Fantasy & Science Fiction, July/August 2012",Gordon Van Gelder,"Spilogale, Inc",2012-07-01,Paperback,260.0,3.93
97,611,847,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"The Magazine of Fantasy & Science Fiction, September/October 2014",Gordon Van Gelder,"Spilogale, Inc.",2014-08-25,Kindle Edition,,3.73
98,524,885,Lightning Returns: Final Fantasy XIII: The Complete Official Guide,Piggyback,Piggyback,2014-2-11,Hardcover,320.0,4.6,Lightning Returns: Final Fantasy XIII: The Complete Official Guide - Collector's Edition,Piggyback,Piggyback,2014-02-11,Hardcover,352.0,4.38
99,663,885,Final Fantasy X-2: The Official Guide,Piggyback,Piggyback Interactive,2004-2-1,Kindle,242.0,3.6,Lightning Returns: Final Fantasy XIII: The Complete Official Guide - Collector's Edition,Piggyback,Piggyback,2014-02-11,Hardcover,352.0,4.38
100,407,885,Final Fantasy XV: Standard Edition,Piggyback,Piggyback,2016-11-29,Hardcover,320.0,4.5,Lightning Returns: Final Fantasy XIII: The Complete Official Guide - Collector's Edition,Piggyback,Piggyback,2014-02-11,Hardcover,352.0,4.38
101,538,885,Final Fantasy XIII-2 - The Complete Official Guide,Piggyback,Piggyback Interactive,2012-1-31,Hardcover,304.0,4.5,Lightning Returns: Final Fantasy XIII: The Complete Official Guide - Collector's Edition,Piggyback,Piggyback,2014-02-11,Hardcover,352.0,4.38
102,232,885,Final Fantasy XII: The Complete Guide,Piggyback,Piggyback Interactive,2007-0-0,Paperback,340.0,5.0,Lightning Returns: Final Fantasy XIII: The Complete Official Guide - Collector's Edition,Piggyback,Piggyback,2014-02-11,Hardcover,352.0,4.38
103,377,885,Final Fantasy XIII: Complete Official Guide - Standard Edition,Piggyback,Piggyback,2010-3-9,Hardcover,256.0,4.6,Lightning Returns: Final Fantasy XIII: The Complete Official Guide - Collector's Edition,Piggyback,Piggyback,2014-02-11,Hardcover,352.0,4.38
104,24,893,Winning Fantasy Baseball: Secret Strategies of a Nine-Time National Champion,Larry Schechter,Emerald Book Company,2014-1-7,Paperback,360.0,4.5,Winning Fantasy Baseball: Secret Strategies of a Nine-Time National Champion,Larry Schechter,Emerald Book Company,2014-01-07,Paperback,360.0,3.57
105,727,921,The Year's Best Fantasy Stories: 3 (Year's Best Fantasy),Lin Carter,DAW,1977-11-15,Kindle,240.0,2.0,The Year's Best Fantasy Stories 2,Lin Carter,DAW,1976-08-17,Paperback,192.0,3.52
108,509,957,Fantasy Cross Stitch,Lesley Teare,David & Charles,2008-2-27,Kindle,112.0,4.3,Fantasy Cross Stitch,Lesley Teare,David & Charles Publishers,2008-04-01,Hardcover,105.0,3.85
109,611,966,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"Fantasy & Science Fiction, January/February 2014",Gordon Van Gelder,Spilogale,2014-01-01,Paperback,260.0,3.44
110,611,967,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"Fantasy & Science Fiction, Jan/Feb 2013",Gordon Van Gelder,"Spilogale, Inc.",2013-01-01,Paperback,,3.63
111,2091,1002,The Tell-Tale Heart (Bantam Classics),Edgar Allan Poe,Bantam Classics,1983-2-1,Paperback,448.0,4.4,Ligeia (Fantasy and Horror Classics),Edgar Allan Poe,Fantasy and Horror Classics,2011-04-28,Paperback,26.0,3.81
112,990,1002,The Murders in the Rue Morgue (Modern Library Classics),Edgar Allan Poe,Modern Library,2006-5-23,Hardcover,160.0,3.9,Ligeia (Fantasy and Horror Classics),Edgar Allan Poe,Fantasy and Horror Classics,2011-04-28,Paperback,26.0,3.81
113,400,1031,Legends: Stories By The Masters of Modern Fantasy,Robert Silverberg,Tor Fantasy,,Hardcover,715.0,4.4,Legends II: New Short Novels by the Masters of Modern Fantasy: Volume One,Robert Silverberg,Random House Audio,2003-12-30,Audio Cassette,0.0,3.9
114,1057,1031,"Legends II: Dragon, Sword, and King",Robert Silverberg,Del Rey,2004-10-26,Hardcover,416.0,4.3,Legends II: New Short Novels by the Masters of Modern Fantasy: Volume One,Robert Silverberg,Random House Audio,2003-12-30,Audio Cassette,0.0,3.9
115,400,1036,Legends: Stories By The Masters of Modern Fantasy,Robert Silverberg,Tor Fantasy,,Hardcover,715.0,4.4,Legends-Vol. 3 Stories By The Masters of Modern Fantasy,Robert Silverberg,Tor Books,2013-05-07,ebook,448.0,3.87
116,1007,1039,The Warlock of Firetop Mountain (Fighting Fantasy),Steve Jackson,Wizard Books,2002-6-3,Kindle,192.0,4.6,GURPS Magic: A Tome of Mystic Secrets for Fantasy Roleplaying,Steve Jackson,Steve Jackson Games,1997-12-01,Paperback,128.0,3.49
117,107,1044,Who's Been Sleeping in Your Head: The Secret World of Sexual Fantasies,Brett Kahr,Basic Books,2009-1-27,Paperback,512.0,3.8,Sex and the Psyche: The Truth About Our Most Secret Fantasies,Brett Kahr,Penguin,2008-02-07,Paperback,462.0,3.66
118,611,1073,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"Fantasy & Science Fiction, January/February 2015",Gordon Van Gelder,"Spilogale, Inc.",2014-12-25,Kindle Edition,,3.92
