_id,ltable_ID,rtable_ID,ltable_Name,ltable_Author,ltable_Publisher,ltable_Publishing_Date,ltable_Format,ltable_Pages,ltable_Rating,rtable_Name,rtable_Author,rtable_Publisher,rtable_Publishing_Date,rtable_Format,rtable_Pages,rtable_Rating
231,527,2011,8: The Year's Best Science Fiction & Fantasy 2016 Edition (Year's Best Science Fiction and Fantasy),Rich Horton,Prime Books,2016-6-21,Hardcover,576.0,3.9,The Year's Best Science Fiction & Fantasy 2016,Rich Horton,Prime Books,2016-06-21,Paperback,576.0,3.7
233,426,2013,FINAL FANTASY X-2 Limited Edition,Dan Birlew,BRADY GAMES,2003-11-20,Kindle,96.0,4.6,Final Fantasy X-2 Official Strategy Guide,Dan Birlew,BradyGames,2003-11-13,Paperback,352.0,4.07
236,35,2044,"Now Write! Science Fiction, Fantasy and Horror: Speculative Genre Exercises from Today's Best Writers and Teachers",Laurie Lamson,TarcherPerigee,2014-2-20,Hardcover,384.0,4.4,"Now Write! Science Fiction, Fantasy and Horror: Speculative Genre Exercises from Today's Best Writers and Teachers",Laurie Lamson,TarcherPerigee,2014-02-20,Paperback,384.0,3.81
239,1053,2088,Drawing & Painting Fantasy Worlds,Finlay Cowan,IMPACT,2006-5-25,Kindle,128.0,3.6,Dragons And Fantasy Beasts (Fantasy Artist's Pocket Reference),Finlay Cowan,Impact,2008-05-02,Hardcover,224.0,3.79
240,409,2117,The Dreamer and the Fantasy Relationship,Natalie Lue,CreateSpace Independent Publishing Platform,2013-10-8,Hardcover,262.0,4.3,The Dreamer and the Fantasy Relationship,Natalie Lue,,,Kindle Edition,234.0,4.28
243,527,2191,8: The Year's Best Science Fiction & Fantasy 2016 Edition (Year's Best Science Fiction and Fantasy),Rich Horton,Prime Books,2016-6-21,Hardcover,576.0,3.9,"The Year's Best Science Fiction & Fantasy, 2010",Rich Horton,Prime Books,2010-06-08,Paperback,541.0,3.53
246,447,2198,The Year’s Best Dark Fantasy & Horror 2016 Edition,Paula Guran,Prime Books,2016-7-19,Paperback,528.0,4.3,"The Year's Best Dark Fantasy & Horror, 2015 Edition",Paula Guran,Prime Books,2015-07-03,Kindle Edition,576.0,3.61
248,36,2201,Fantasy Football For Dummies,Martin Signore,For Dummies,2007-7-2,Hardcover,288.0,4.5,Fantasy Football for Dummies,Martin Signore,For Dummies,2007-06-01,Paperback,273.0,3.61
251,796,2229,"The Year's Best Science Fiction & Fantasy, 2009 Edition (Year's Best Science Fiction and Fantasy)",Rich Horton,Prime Books,2010-1-5,Hardcover,544.0,3.7,"The Year's Best Science Fiction & Fantasy, 2013",Rich Horton,Prime Books,2013-07-02,Paperback,573.0,3.73
258,1059,2270,Sweet Life 2: Erotic Fantasies for Couples,Violet Blue,Cleis Press,,Paperback,225.0,3.6,Taboo: Forbidden Fantasies for Couples,Violet Blue,Cleis Press,2004-03-08,Paperback,272.0,3.44
259,227,2274,Animals Real and Imagined: Fantasy of What Is and What Might Be,Terryl Whitlatch,Design Studio Press,2010-12-1,Kindle,160.0,4.8,Animals Real and Imagined: The Fantasy of What Is and What Might Be,Terryl Whitlatch,Design Studio Press,2010-12-01,Paperback,159.0,4.55
260,2091,2286,The Tell-Tale Heart (Bantam Classics),Edgar Allan Poe,Bantam Classics,1983-2-1,Paperback,448.0,4.4,Edgar Allan Poe Collection (Adventure Classics),Edgar Allan Poe,HarperFestival (NY),2005-08-01,Paperback,,4.52
261,990,2286,The Murders in the Rue Morgue (Modern Library Classics),Edgar Allan Poe,Modern Library,2006-5-23,Hardcover,160.0,3.9,Edgar Allan Poe Collection (Adventure Classics),Edgar Allan Poe,HarperFestival (NY),2005-08-01,Paperback,,4.52
262,1059,2301,Sweet Life 2: Erotic Fantasies for Couples,Violet Blue,Cleis Press,,Paperback,225.0,3.6,Sweet Life: Erotic Fantasies for Couples,Violet Blue,Cleis Press,2001-10-12,Paperback,225.0,3.96
266,796,2375,"The Year's Best Science Fiction & Fantasy, 2009 Edition (Year's Best Science Fiction and Fantasy)",Rich Horton,Prime Books,2010-1-5,Hardcover,544.0,3.7,"The Year's Best Science Fiction & Fantasy, 2014",Rich Horton,Prime Books,2014-06-10,Paperback,575.0,3.65
268,349,2377,Battle Mage,Peter Flannery,Blackheart Books,2017-3-31,Hardcover,646.0,4.8,Battle Mage (An Epic Fantasy Adventure),Peter  Flannery,Blackheart Books,2017-02-20,Kindle Edition,648.0,4.49
269,60,2378,Final Fantasy Anthology Official Strategy Guide (Brady Games),David Cassady,Brady Games,1999-11-4,Kindle,288.0,4.5,Final Fantasy VIII Official Strategy Guide,David Cassady,BradyGames,1999-08-31,Paperback,272.0,4.25
270,401,2378,"Official Final Fantasy VII Strategy Guide, Playstation Version (v. 1)",David Cassady,BRADY GAMES,1997-8-28,Paperback,224.0,4.3,Final Fantasy VIII Official Strategy Guide,David Cassady,BradyGames,1999-08-31,Paperback,272.0,4.25
