Name,Author,Publisher,Publishing_Date,Format,Pages,Rating
"Mastering Fantasy Art - Drawing Dynamic Characters: People, Poses, Creatures and More",John Stanko,IMPACT Books,2014-6-13,Paperback,144.0,3.9
"Truth, Fantasy, and Paradox: The Fairy Tales of George MacDonald, G.K. Chesterton, and C.S. Lewis",Jennifer Overkamp,CreateSpace Independent Publishing Platform,2014-12-4,Hardcover,346.0,4.4
Strongholds of Sorcery: The Glain Campaign,Chris Gonnerman,CreateSpace Independent Publishing Platform,2017-10-6,Hardcover,124.0,4.2
Dungeon Fantasy Companion,Christopher R. Rice,"Steve Jackson Games, Incorporated",2017-7-25,Hardcover,78.0,4.5
Fantasy Writing Prompts: 77 Powerful Ideas To Inspire Your Fiction (Writer's Craft) (Volume 24),Rayne Hall,CreateSpace Independent Publishing Platform,2017-3-17,Paperback,190.0,5.0
A Witchmas Carol: A Wicked Witches of the Midwest Fantasy (Volume 4),Amanda M. Lee,CreateSpace Independent Publishing Platform,2017-9-6,Kindle,212.0,4.6
Mage Slave (The Enslaved Chronicles) (Volume 1),R. K. Thorne,Iron Antler Books,2016-7-29,Hardcover,462.0,4.5
The Alchemist,Paulo Coelho,HarperOne,2014-4-15,Paperback,208.0,4.6
Fantasy Pieces: Metrical Dissonance in the Music of Robert Schumann,Harald Krebs,Oxford University Press,2003-5-22,Paperback,304.0,
COLORING BOOK Fantasy Mermaids & Fairies: Amazing coloring book for all ages.,Alena Lazareva,CreateSpace Independent Publishing Platform,2016-5-7,Paperback,56.0,4.6
Fantasy Basketball and Mathematics: Student Workbook,Dan Flockhart,Jossey-Bass,2007-3-19,Kindle,216.0,5.0
CRISIS CORE -FINAL FANTASY VII- Signature Series Guide (Bradygames Signature Series Guides),Joe Epstein,BRADY GAMES,2008-3-18,Paperback,272.0,4.5
The Cambridge Companion to Fantasy Literature (Cambridge Companions to Literature),Edward James,Cambridge University Press,2012-2-27,Kindle,294.0,4.0
Faedorables Minis - Pocket Sized Cute Fantasy Coloring Book (Fantasy Coloring by Selina) (Volume 16),Selina Fenech,Fairies and Fantasy Pty Ltd,2017-11-9,Paperback,106.0,5.0
"The Complete Guide to Writing Fantasy, Vol. 1: Alchemy with Words (The Compete Guide Series)",Tom Dullemond,Dragon Moon Press,2006-1-1,Kindle,320.0,3.8
The Dark Huntsman: A fantasy romance of the Black Court (Tales of the Black Court) (Volume 1),Jessica Aspen,Abracadabra Publishing,2013-10-3,Hardcover,350.0,4.2
Official Nintendo Final Fantasy I & II: Dawn of Souls Player's Guide,Nintendo Power,Nintendo of America Inc.,2004-11-7,Paperback,152.0,4.5
"Carving Fantasy & Legend Figures in Wood, Revised Edition: Patterns & Instructions for Dragons, Wizards & Other Creatures of Myth",Shawn Cipa,Fox Chapel Publishing,2013-9-1,Paperback,120.0,4.5
Kingdom of Storms: a Reverse Harem Fantasy (The Legend of Tariel) (Volume 1),Jasmine Walt,Dynamo Press,2018-2-2,Hardcover,268.0,4.7
Fantasy Baseball for Smart People: The Art (and Science) of Being Contrarian in DFS,Jonathan Bales,CreateSpace Independent Publishing Platform,2016-3-6,Paperback,162.0,4.9
Rhetorics of Fantasy,Farah Mendlesohn,Wesleyan,2008-4-30,Hardcover,336.0,3.9
Fighting Fantasy: The Port of Peril,Ian Livingstone,Scholastic,2017-8-3,Paperback,232.0,4.5
"Misfits a Gothic Fantasy Coloring Book for Adults and Creepy Children: Vampires, gloom, doom, skeletons, ghosts and other spooky things. (Misfits A ... Book for Adults and ODD Children) (Volume 9)",White Stag,CreateSpace Independent Publishing Platform,2017-10-1,Kindle,54.0,4.5
"Dragons, Witches, and Other Fantasy Creatures in Origami (Dover Origami Papercraft)",Mario Adrados Netto,Dover Publications,2005-10-12,Paperback,176.0,3.6
Bad Guys Don't Have Birthdays: Fantasy Play at Four,Vivian Gussin Paley,University of Chicago Press,1991-5-21,Hardcover,128.0,4.4
"Fantasy Baseball and Mathematics: A Resource Guide for Teachers and Parents, Grades 5 and Up",Dan Flockhart,Jossey-Bass,2007-3-23,Kindle,224.0,5.0
Fantasy & Fairytales: by Sassy Colouring,Saskja Cook,CreateSpace Independent Publishing Platform,2018-1-24,Kindle,88.0,5.0
Fighting Fantasy: City of Thieves,Ian Livingstone,Scholastic,2017-8-3,Hardcover,232.0,4.5
"The Pillar of Light: The Milana Legends, Part One, A Christian Fantasy Adventure (Volume 1)",Anna Travis,CreateSpace Independent Publishing Platform,2016-4-9,Hardcover,188.0,4.4
Sacrificed (The Last Oracle) (Volume 1),Emily Wibberley,CreateSpace Independent Publishing Platform,2015-1-5,Kindle,348.0,4.2
Draw Alien Fantasies: A step-by-step guide,Damon J. Reinagle,"Peel Productions, Incorporated",2015-2-5,Hardcover,64.0,4.9
Creative Haven Winged Fantasy Designs Coloring Book (Adult Coloring),Aaron Pocock,Dover Publications,2016-12-14,Paperback,64.0,4.4
Famous Fantasy Character Monologs: Starring the Not-so-wicked Witch And More,Rebecca Young,Meriwether Pub,2006-9-30,Paperback,135.0,3.8
"Fantasy Basketball and Mathematics: A Resource Guide for Teachers and Parents, Grades 5 and Up",Dan Flockhart,Jossey-Bass,2007-3-23,Hardcover,224.0,4.2
Final Fantasy XI Official Strategy Guide for PS2 & PC (Spring 2004 Version),Michael Lummis,Brady Games,2004-4-5,Paperback,384.0,3.8
Natural Witch (Magical Mayhem) (Volume 1),K.F. Breene,CreateSpace Independent Publishing Platform,2018-1-25,Hardcover,422.0,4.7
Fantasy 5 Formula: Win Cash 5 Lottery,Eze Ugbor,CreateSpace Independent Publishing Platform,2011-9-20,Hardcover,56.0,3.1
Spirited: A Reverse Harem Fantasy Romance (The Academy of Spirits and Shadows),C.M. Stunich,Independently published,2018-1-20,Hardcover,408.0,4.8
Magic of Thieves,C. Greenwood,CreateSpace Independent Publishing Platform,2012-12-13,Kindle,182.0,3.9
Once Upon a Witch: A Wicked Witches of the Midwest Fantasy Books 1-3,Amanda M. Lee,CreateSpace Independent Publishing Platform,2017-6-5,Kindle,520.0,4.3
The Fifth Season (The Broken Earth),N. K. Jemisin,Orbit,2015-8-4,Paperback,512.0,4.4
Writers of the Future Vol 33 (L. Ron Hubbard Presents Writers of the Future),Rachel Quinlan,Galaxy Press,2017-4-4,Kindle,400.0,4.8
Shadow Descendant (Descendants) (Volume 1),L.D. Goffigan,CreateSpace Independent Publishing Platform,2017-9-25,Hardcover,298.0,4.3
"Cupcakes, Trinkets, and Other Deadly Magic (The Dowser Series) (Volume 1)",Meghan Ciana Doidge,Old Man in the CrossWalk Productions,2013-6-19,Hardcover,264.0,4.4
The Jack of Souls (The Unseen Moon Series) (Volume 1),Stephen C Merlino,TORTOISE RAMPANT PRESS,2014-12-6,Hardcover,350.0,4.4
The Lure of Fantasy Islam: Exposing the Myths and Myth Makers,Dr. Stephen M. Kirby,CreateSpace Independent Publishing Platform,2017-5-18,Hardcover,284.0,5.0
Sweet Blood of Mine: Book One of the Overworld Chronicles (Volume 1),John Corwin,Raven Press,2012-3-15,Hardcover,442.0,4.4
Final Fantasy XV Game Guide Unofficial,The Yuw,Booksmango,2017-2-10,Paperback,46.0,3.0
"Companion to Narnia, Revised Edition: A Complete Guide to the Magical World of C.S. Lewis's The Chronicles of Narnia",Paul F. Ford,HarperCollins Narnia,2005-7-5,Kindle,560.0,4.4
"Fairies - A Coloring Book for Grownups and All Ages: Featuring 25 pages of mystical fairies, flower fairies and fairies and their friends! Suitable for kids and adults.",Molly Harrison,CreateSpace Independent Publishing Platform,2017-4-23,Kindle,52.0,4.3
Fantasy Swap Online: A Gender Swapped LitRPG Adventure,Alyson Belle,Independently published,2017-11-10,Paperback,168.0,4.2
Awaken (Awakened Fate) (Volume 1),Skye Malone,Wildflower Isle,2014-5-29,Kindle,248.0,4.3
Fantasy Football U: Expert Tips on How to Dominate Your Draft,Rotoworld,CreateSpace Independent Publishing Platform,2017-8-12,Kindle,224.0,5.0
Goddess and Mythology Coloring Book (Fantasy Coloring by Selina) (Volume 9),Selina Fenech,Fairies and Fantasy Pty Ltd,2016-7-13,Paperback,108.0,4.6
"Animal Mandalas: An Adult Coloring Book with Mandala Designs, Mythical Creatures, and Fantasy Animals for Inspiration and Relaxation",Jade Summer,CreateSpace Independent Publishing Platform,2016-11-19,Hardcover,106.0,4.4
Fantasy Snowflakes Coloring Book,J. S. Burke,Lind Press,2017-11-23,Paperback,66.0,5.0
"Flowers of Fantasy: A Coloring Book of Fantastical Flower Designs, Flowers in Vases, Flowers and Poetry and More!",C L Aldridge,CreateSpace Independent Publishing Platform,2017-6-3,Kindle,102.0,5.0
Fantasy Film: A Critical Introduction (Film Genres),James Walters,Bloomsbury Academic,2011-6-15,Paperback,192.0,
Diamond Dividends: Creative Strategies to Profit Through Fantasy Baseball,Mario Mergola,Mario Mergola,2017-3-13,Hardcover,114.0,5.0
Fairy Portraits Coloring Book: A Fantasy Coloring Adventure for Adults (Fantasy Coloring by Samantha) (Volume 2),Samantha J Lewis,CreateSpace Independent Publishing Platform,2017-11-16,Hardcover,88.0,5.0
The Dark Fantasy Coloring Book for Adults,Stephanie Cournoyer,CreateSpace Independent Publishing Platform,2016-1-2,Paperback,58.0,3.5
Fantasia of the Unconscious and Psychoanalysis and the Unconscious (Penguin Twentieth Century Classics),D. H. Lawrence,Penguin Classics,1991-1-3,Paperback,256.0,5.0
A Cast of Stones (The Staff and the Sword),Patrick W. Carr,Bethany House Publishers,2013-2-1,Hardcover,432.0,4.6
Adult Coloring Book: Nice Little Dragons (Volume 1),Tatiana Bogema (Stolova),CreateSpace Independent Publishing Platform,2017-12-14,Kindle,108.0,4.9
Dragon Rose (Tales of the Latter Kingdoms),Christine Pope,Dark Valentine Press,2012-11-14,Paperback,276.0,4.4
A Short History of Fantasy,Edward James,Libri Publishing,2012-10-1,Paperback,296.0,5.0
"Fantasy Fashion Art Studio: Creating Romantic Characters, Clothing and Costumes",Meredith Dillman,IMPACT Books,2013-8-20,Kindle,128.0,4.8
Fantasy Castle Cross Stitch Patterns: Collection Number 1,Tracy Warrington,CreateSpace Independent Publishing Platform,2014-11-4,Hardcover,166.0,4.0
A Sellsword's Compassion: Book One of the Seven Virtues,Jacob Peppers,Independently published,2017-10-17,Paperback,413.0,4.4
Dragons Coloring Book: A Fantasy Coloring Adventure for Adults (Fantasy Coloring by Samantha) (Volume 1),Samantha J Lewis,CreateSpace Independent Publishing Platform,2017-7-9,Hardcover,108.0,3.8
Christmas Fantasy Duets: 4 Arrangements for Early Intermediate to Late Intermediate Pianists,Robert D. Vandall,Alfred Music,2010-8-1,Kindle,40.0,4.3
Claw and Crown: A Gay Viking Fantasy Shifter MPreg Romance,Richard Lunch,Independently published,2016-10-16,Kindle,289.0,4.0
Wolf Sight (A New Dawn Novel),Rachel M. Raithby,Independently published,2017-9-17,Paperback,348.0,5.0
Daughter of Magic,Teresa Roman,Teresa Roman,2016-3-12,Kindle,262.0,4.4
The King: The Jester King Fantasy Series: Book Four (Volume 4),K C Herbel,Epic Books Press,2017-11-24,Hardcover,354.0,4.8
Writing Fantasy Heroes: Powerful Advice from the Pros (Rogue Blades Presents),J M Martin,Rogue Blades Entertainment,2013-2-23,Kindle,216.0,4.4
Calling (The Starlight Chronicles) (Volume 2),C. S. Johnson,CreateSpace Independent Publishing Platform,2015-5-28,Kindle,336.0,4.3
"The Land of Fantasia: Magical Adult Coloring Book with Mythical Creatures, Fairies, Fantasy Nature and Other Illustrations for Creative Stress Relief (Fantasy Coloring Book)",Favoreads,CreateSpace Independent Publishing Platform,2017-6-21,Hardcover,48.0,
Cirsova #7: Heroic Fantasy and Science Fiction Magazine (Volume 7),Michael Tierney,CreateSpace Independent Publishing Platform,2018-2-27,Paperback,106.0,
William Wilde and the Necrosed (The Chronicles of William Wilde),Davis Ashura,DuSum Publishing,2018-2-27,Paperback,356.0,5.0
"Fantasy and Fairies- A Grayscale Coloring Book: Fairies, Mermaids, Dragons and More!",Molly Harrison,CreateSpace Independent Publishing Platform,2018-1-15,Paperback,52.0,5.0
She,H. Rider Haggard,CreateSpace Independent Publishing Platform,2017-7-23,Hardcover,220.0,3.9
The Mage and the Magpie (Magemother) (Volume 1),Austin J. Bailey,CreateSpace Independent Publishing Platform,2015-6-11,Kindle,366.0,4.5
Fantasy Football for Smart People: How to Dominate Your Draft,Jonathan Bales,CreateSpace Independent Publishing Platform,2012-5-26,Kindle,132.0,4.0
Final Fantasy Tactics: The War of the Lions Official Strategy Guide (BradyGames Official Strategy Guides),Adam Deats,BradyGames,2007-10-11,Kindle,208.0,4.4
World of Final Fantasy,Long Tran,Prima Games,2016-10-25,Kindle,304.0,4.3
The Scratchling Trinity: a magical adventure for children ages 9-15,Boyd Brent,Independently published,2017-1-14,Paperback,250.0,4.3
The Tiger's Daughter (Their Bright Ascendency),K Arsenault Rivera,Tor Books,2017-10-3,Paperback,528.0,4.3
Fantastic Creatures: A Fellowship of Fantasy Anthology (Volume 1),Craig A. Price Jr.,CreateSpace Independent Publishing Platform,2016-11-15,Hardcover,314.0,4.4
"The Best of Heroic Fantasy Quarterly: Volume 1, 2009-2011",J. S. Bangs,CreateSpace Independent Publishing Platform,2015-11-22,Hardcover,212.0,5.0
"Dreamscapes: Creating Magical Angel, Faery & Mermaid Worlds In Watercolor",Stephanie Pui-Mun Law,Impact,2008-2-15,Hardcover,176.0,4.8
