Author,Format,ID,Name,Pages,Publisher,Publishing_Date,Rating
Apuleius,Hardcover,32.0,The Golden Ass (Penguin Classics),304.0,Penguin Classics,1999-1-1,4.3
Sever Bronny,Hardcover,33.0,Arcane (The Arinthian Line) (Volume 1),366.0,Sever Bronny Ltd.,2014-11-26,4.5
Kelly St. Clare,Hardcover,34.0,Fantasy of Frost (The Tainted Accords) (Volume 1),264.0,Kelly St. Clare,2017-3-14,4.5
Jon B. Dalvy,Paperback,37.0,The Ballad of Titha Mae: A Fantasy in Twelve Parts,343.0,Independently published,2018-1-15,4.9
Evan Winter,Kindle,38.0,The Rage of Dragons,438.0,Beautiful Beast,2017-9-7,4.7
Aim\u00e9lie Aames,Paperback,40.0,"The Marechal Chronicles: Volumes I, II and III: An Erotic Fantasy Tale (Volume 1)",278.0,CreateSpace Independent Publishing Platform,2014-5-20,3.3
Selina Fenech,Hardcover,42.0,Gothic - Dark Fantasy Coloring Book (Fantasy Art Coloring by Selina) (Volume 6),108.0,Fairies and Fantasy Pty Ltd,2016-3-23,4.7
Matthew Berry,Paperback,43.0,"Fantasy Life: The Outrageous, Uplifting, and Heartbreaking World of Fantasy Sports from the Guy Who's Lived It",384.0,Riverhead Books,2014-7-1,4.6
John Joseph Adams,Paperback,44.0,The Best American Science Fiction and Fantasy 2015 (The Best American Series ®),368.0,Mariner Books,2015-10-6,4.0
Amy Brown,Paperback,45.0,Color Your Fantasy II Coloring Book,40.0,CreateSpace Independent Publishing Platform,2015-7-27,4.7
Michael J. Bader,Kindle,46.0,Arousal: The Secret Logic of Sexual Fantasies,304.0,St. Martin's Griffin,2003-1-18,4.1
May Sage,Paperback,48.0,Reign: A Space Fantasy Romance (Strands of Starfire) (Volume 1),376.0,Madam's Books,2018-3-1,4.8
Ikuko,Hardcover,49.0,Color My Art: Surreal Fantasy: Grayscale & Underpainting Coloring Book,104.0,CreateSpace Independent Publishing Platform,2017-7-19,4.3
Scot Howden,Paperback,50.0,Colouring Fantasy 2 - Colouring Book by Scot Howden (Volume 2),54.0,CreateSpace Independent Publishing Platform,2016-10-20,4.6
Clifton Fadiman,Kindle,51.0,Fantasia Mathematica,298.0,Copernicus,1997-4-1,4.8
Amanda M. Lee,Kindle,52.0,Make A Witch (A Wicked Witches of the Midwest Fantasy) (Volume 3),194.0,CreateSpace Independent Publishing Platform,2017-6-5,4.6
Patrick W. Carr,Hardcover,53.0,The Shock of Night (The Darkwater Saga),464.0,Bethany House Publishers,2015-11-3,4.4
Paul Johnson-Jovanovic,Hardcover,54.0,Medieval Madness: a fantasy adventure book for kids and teens aged 9-15 (Volume 1),142.0,CreateSpace Independent Publishing Platform,2017-11-19,5.0
Jill Williamson,Paperback,55.0,Storyworld First: Creating a Unique Fantasy World for Your Novel,176.0,Novel Teen Press,2014-8-13,4.3
John Joseph Adams,Kindle,56.0,The Best American Science Fiction and Fantasy 2016 (The Best American Series ®),320.0,Mariner Books,2016-10-4,3.4
Chris Gonnerman,Paperback,57.0,The Basic Fantasy Field Guide,86.0,CreateSpace Independent Publishing Platform,2014-11-21,4.7
Heidi Heilig,Hardcover,58.0,The Girl from Everywhere,480.0,Greenwillow Books,2017-2-7,4.3
Billy Joel,Hardcover,59.0,"Billy Joel - Fantasies & Delusions: Music for Solo Piano, Op. 1-10",96.0,Hal Leonard,2001-10-1,4.4
David Cassady,Kindle,60.0,Final Fantasy Anthology Official Strategy Guide (Brady Games),288.0,Brady Games,1999-11-4,4.5
Benjamin Ricciardi,Paperback,61.0,Benny Ricciardi's Definitive Guide to Fantasy Baseball,251.0,Benny Ricciardi,2017-3-1,4.3
Jason Hamilton,Kindle,62.0,Fairy Fantasy: Enchanting Fairy Adult Coloring Book,82.0,JasonHamilton.ink,2017-5-21,4.7
Rachel M. Raithby,Paperback,63.0,Winter Wolf (A New Dawn Novel),348.0,Skyscape,2015-10-27,4.2
Frank Granados,Hardcover,64.0,The lost art of how to draw fantasy females,82.0,CreateSpace Independent Publishing Platform,2012-9-9,3.2
Meredith Dillman,Kindle,65.0,"Fairies & Fantasy: Learn to paint the enchanted world of fairies, angels, and mermaids (Watercolor Made Easy)",64.0,Walter Foster Publishing,2009-4-15,4.5
Julie Wenzel,Kindle,66.0,500 Science Fiction and Fantasy Writing Prompts,122.0,CreateSpace Independent Publishing Platform,2016-10-24,5.0
Shannon Mayer,Kindle,68.0,Witch's Reign (Desert Cursed Series Book 1) (The Desert Cursed Series) (Volume 1),368.0,CreateSpace Independent Publishing Platform,2018-2-6,4.8
Jade Summer,Kindle,70.0,"Fantasy Coloring Adventure: A Magical World of Fantasy Creatures, Enchanted Animals, and Whimsical Scenes",86.0,CreateSpace Independent Publishing Platform,2017-8-12,4.6
Teyla Branton,Kindle,71.0,The Change (Unbounded) (Volume 1),356.0,White Star Press,2013-1-10,4.5
Selina Fenech,Hardcover,72.0,Enchanted - Magical Forests Coloring Collection (Fantasy Art Coloring by Selina) (Volume 3),108.0,Fairies and Fantasy Pty Ltd,2015-9-16,4.6
JY Yang,Paperback,73.0,The New Voices of Fantasy,336.0,Tachyon Publications,2017-8-22,4.5
Michael-Scott Earle,Hardcover,74.0,The Destroyer (Volume 1),580.0,CreateSpace Independent Publishing Platform,2016-2-20,4.3
Mary Oliver,Hardcover,75.0,Owls and Other Fantasies: Poems and Essays,88.0,Beacon Press,2006-4-1,4.9
Jesper Schmidt,Hardcover,76.0,Fantasy Map Making: A step-by-step guide for worldbuilders (Writer Resources) (Volume 2),164.0,CreateSpace Independent Publishing Platform,2018-1-15,3.7
Julie Sze,Kindle,77.0,Fantasy Islands: Chinese Dreams and Ecological Fears in an Age of Climate Crisis,248.0,University of California Press,2015-1-5,4.0
April White,Paperback,78.0,Marking Time: The Immortal Descendants: Book 1,436.0,Corazon Entertainment,2012-11-5,4.7
Terri Windling,Hardcover,79.0,The Year's Best Fantasy and Horror: Twelfth Annual Collection (No. 12),624.0,St. Martin's Griffin,1999-7-30,4.3
Jeff Wheeler,Hardcover,80.0,The Queen's Poisoner (The Kingfountain Series),334.0,47North,2016-4-1,4.5
Emily R. King,Paperback,81.0,The Hundredth Queen (The Hundredth Queen Series),300.0,Skyscape,2017-6-1,4.3
Emma Warner-Reed,Paperback,82.0,DOTTY and the Calendar House Key: (A magical fantasy adventure for 8-12 year olds) (The DOTTY Series) (Volume 1),234.0,Calendar House Press,2016-11-17,4.8
Gary A. Lippincott,Kindle,83.0,The Fantasy Illustrator's Technique Book (Quarto Book),128.0,Barron's Educational Series,2007-2-1,4.4
Blaine Hart,Paperback,84.0,Writing Fantasy: The Top 100 Best Strategies For Writing Fantasy Stories,80.0,Lord Hart Productions,2017-3-23,4.6
Kelly St. Clare,Hardcover,85.0,Fantasy of Fire (The Tainted Accords) (Volume 3),294.0,Kelly St. Clare,2016-1-14,4.9
James Maxwell,Paperback,87.0,Enchantress (The Evermen Saga),624.0,47North,2014-7-29,4.3
Aleksandr Afanasev,Hardcover,88.0,Russian Fairy Tales (The Pantheon Fairy Tale and Folklore Library),672.0,Pantheon Books,1973-0-0,4.2
Emigh Cannaday,Kindle,89.0,The Flame and the Arrow (The Annika Brisby Series) (Volume 1),438.0,CreateSpace Independent Publishing Platform,2010-11-22,4.4
Mark Frost,Hardcover,90.0,The Paladin Prophecy: Book 1,528.0,Ember,2014-1-7,4.5
Linsey Hall,Hardcover,91.0,Undercover Magic (Dragon's Gift: The Valkyrie) (Volume 1),216.0,Bonnie Doon Press LLC,2017-11-16,4.5
Merri Lisa Johnson,Paperback,92.0,Flesh for Fantasy: Producing and Consuming Exotic Dance,272.0,Seal Press,2005-12-21,4.4
Glenn G Thater,Kindle,93.0,Harbinger of Doom (Volumes 1 - 3): Three Book Bundle,650.0,CreateSpace Independent Publishing Platform,2017-5-19,4.0
H. Bruce Franklin,Hardcover,94.0,"Vietnam and Other American Fantasies (Culture, Politics, and the Cold War)",272.0,University of Massachusetts Press,2001-10-25,3.6
Molly Harrison,Hardcover,95.0,Fairyland - A Coloring Book For Adults: Fantasy Coloring for Grownups by Molly Harrison,54.0,CreateSpace Independent Publishing Platform,2017-1-18,4.8
Wendy Maltz,Kindle,96.0,Private Thoughts: Exploring the Power of Women's Sexual Fantasies,304.0,BookSurge Publishing,2008-5-2,4.3
Nathaniel Wake,Kindle,97.0,Adult Coloring Book: Dragon Life: Dragons and Dragon Masters in Fantasy Realms  35+ Original Illustrations,96.0,CreateSpace Independent Publishing Platform,2017-8-24,4.9
Jonathan Bales,Kindle,98.0,Fantasy Football for Smart People: What the Experts Don't Want You to Know,226.0,CreateSpace Independent Publishing Platform,2013-5-14,3.9
Burke Fitzpatrick,Kindle,99.0,Today Is Too Late (The Shedim Rebellion) (Volume 1),356.0,Blade Books LLC,2013-10-10,4.8
Casey Loe,Hardcover,102.0,Final Fantasy Origins: Official Strategy Guide,256.0,BradyGames,2003-4-19,4.6
May Sage,Paperback,103.0,Dragon's Blood: a Reverse Harem Fantasy Romance (The Dragon's Gift Trilogy) (Volume 2),286.0,Dynamo Press,2017-11-11,4.6
Sam Hendricks,Kindle,104.0,"Fantasy Football Basics: The Ultimate ""How-to"" Guide for Beginners",160.0,Extra Point Press,2010-5-26,4.6
Stephanie Foxe,Hardcover,105.0,Borrowed Magic: An Urban Fantasy Novel (Witch's Bite Series) (Volume 1),132.0,CreateSpace Independent Publishing Platform,2017-10-1,4.0
Dan Birlew,Hardcover,106.0,Final Fantasy Chronicles Official Strategy Guide: Chrono Trigger and Final Fantasy 4,160.0,Brady Games,2001-7-2,4.5
Chris Gonnerman,Kindle,108.0,Adventure Anthology 1,86.0,CreateSpace Independent Publishing Platform,2014-7-27,4.9
Wingfeather Coloring Books,Paperback,109.0,"Mermaids, Fairies & Fantasy: Grayscale Coloring Book for Grownups, Adults (Wingfeather Coloring Books) (Volume 4)",86.0,CreateSpace Independent Publishing Platform,2015-11-4,3.1
Alena Lazareva,Paperback,110.0,Fantasy World. Grayscale coloring book: Adult coloring book,68.0,CreateSpace Independent Publishing Platform,2017-4-8,4.6
Chris Fabry,Paperback,111.0,The Sword of the Wormling,336.0,"Tyndale House Publishers, Inc.",2007-10-1,4.9
Selina Fenech,Hardcover,112.0,Faedorables - Sweet and Simple Coloring Book (Fantasy Coloring by Selina) (Volume 14),108.0,Fairies and Fantasy Pty Ltd,2016-11-18,4.7
John Grant,Kindle,113.0,The Encyclopedia of Fantasy,1088.0,St. Martin's Griffin,1999-3-15,4.1
Martin McKenna,Hardcover,114.0,Drawing and Painting Fantasy Landscapes and Cityscapes,128.0,Barron's Educational Series,2006-7-1,4.3
Naomi Novik,Kindle,115.0,Uprooted: A Novel,464.0,Del Rey,2016-3-1,4.6
Morgan Rice,Paperback,116.0,"Slave, Warrior, Queen (of Crowns and Glory--Book 1)",191.0,Morgan Rice,2017-8-2,3.6
Nintendo Power,Hardcover,117.0,Official Nintendo Power FINAL FANTASY V ADVANCE Player's Guide,128.0,Nintendo of America Inc.,2006-10-30,4.2
Molly Harrison,Hardcover,118.0,"A World of Fairies - A Fantasy Grayscale Coloring Book for Adults: Flower Fairies, and Celestial Fairies by Molly Harrison Fantasy Art",56.0,CreateSpace Independent Publishing Platform,2017-1-18,4.5
Peter Newman,Kindle,119.0,The Seven (The Vagrant Trilogy),464.0,HarperVoyager,2017-10-3,4.6
J. Patrick Williams,Kindle,120.0,"Gaming As Culture: Essays on Reality, Identity And Experience in Fantasy Games",224.0,McFarland,2006-3-21,3.6
John Stanko,Paperback,121.0,"Mastering Fantasy Art - Drawing Dynamic Characters: People, Poses, Creatures and More",144.0,IMPACT Books,2014-6-13,3.9
Jennifer Overkamp,Hardcover,122.0,"Truth, Fantasy, and Paradox: The Fairy Tales of George MacDonald, G.K. Chesterton, and C.S. Lewis",346.0,CreateSpace Independent Publishing Platform,2014-12-4,4.4
Chris Gonnerman,Hardcover,123.0,Strongholds of Sorcery: The Glain Campaign,124.0,CreateSpace Independent Publishing Platform,2017-10-6,4.2
Christopher R. Rice,Hardcover,124.0,Dungeon Fantasy Companion,78.0,"Steve Jackson Games, Incorporated",2017-7-25,4.5
Rayne Hall,Paperback,125.0,Fantasy Writing Prompts: 77 Powerful Ideas To Inspire Your Fiction (Writer's Craft) (Volume 24),190.0,CreateSpace Independent Publishing Platform,2017-3-17,5.0
Amanda M. Lee,Kindle,126.0,A Witchmas Carol: A Wicked Witches of the Midwest Fantasy (Volume 4),212.0,CreateSpace Independent Publishing Platform,2017-9-6,4.6
R. K. Thorne,Hardcover,127.0,Mage Slave (The Enslaved Chronicles) (Volume 1),462.0,Iron Antler Books,2016-7-29,4.5
Paulo Coelho,Paperback,128.0,The Alchemist,208.0,HarperOne,2014-4-15,4.6
Harald Krebs,Paperback,129.0,Fantasy Pieces: Metrical Dissonance in the Music of Robert Schumann,304.0,Oxford University Press,2003-5-22,
Alena Lazareva,Paperback,130.0,COLORING BOOK Fantasy Mermaids & Fairies: Amazing coloring book for all ages.,56.0,CreateSpace Independent Publishing Platform,2016-5-7,4.6
Dan Flockhart,Kindle,131.0,Fantasy Basketball and Mathematics: Student Workbook,216.0,Jossey-Bass,2007-3-19,5.0
Joe Epstein,Paperback,132.0,CRISIS CORE -FINAL FANTASY VII- Signature Series Guide (Bradygames Signature Series Guides),272.0,BRADY GAMES,2008-3-18,4.5
Edward James,Kindle,133.0,The Cambridge Companion to Fantasy Literature (Cambridge Companions to Literature),294.0,Cambridge University Press,2012-2-27,4.0
Selina Fenech,Paperback,134.0,Faedorables Minis - Pocket Sized Cute Fantasy Coloring Book (Fantasy Coloring by Selina) (Volume 16),106.0,Fairies and Fantasy Pty Ltd,2017-11-9,5.0
Tom Dullemond,Kindle,135.0,"The Complete Guide to Writing Fantasy, Vol. 1: Alchemy with Words (The Compete Guide Series)",320.0,Dragon Moon Press,2006-1-1,3.8
Jessica Aspen,Hardcover,137.0,The Dark Huntsman: A fantasy romance of the Black Court (Tales of the Black Court) (Volume 1),350.0,Abracadabra Publishing,2013-10-3,4.2
Nintendo Power,Paperback,139.0,Official Nintendo Final Fantasy I & II: Dawn of Souls Player's Guide,152.0,Nintendo of America Inc.,2004-11-7,4.5
Shawn Cipa,Paperback,140.0,"Carving Fantasy & Legend Figures in Wood, Revised Edition: Patterns & Instructions for Dragons, Wizards & Other Creatures of Myth",120.0,Fox Chapel Publishing,2013-9-1,4.5
Jasmine Walt,Hardcover,141.0,Kingdom of Storms: a Reverse Harem Fantasy (The Legend of Tariel) (Volume 1),268.0,Dynamo Press,2018-2-2,4.7
Jonathan Bales,Paperback,142.0,Fantasy Baseball for Smart People: The Art (and Science) of Being Contrarian in DFS,162.0,CreateSpace Independent Publishing Platform,2016-3-6,4.9
Farah Mendlesohn,Hardcover,145.0,Rhetorics of Fantasy,336.0,Wesleyan,2008-4-30,3.9
Ian Livingstone,Paperback,146.0,Fighting Fantasy: The Port of Peril,232.0,Scholastic,2017-8-3,4.5
White Stag,Kindle,147.0,"Misfits a Gothic Fantasy Coloring Book for Adults and Creepy Children: Vampires, gloom, doom, skeletons, ghosts and other spooky things. (Misfits A ... Book for Adults and ODD Children) (Volume 9)",54.0,CreateSpace Independent Publishing Platform,2017-10-1,4.5
Mario Adrados Netto,Paperback,149.0,"Dragons, Witches, and Other Fantasy Creatures in Origami (Dover Origami Papercraft)",176.0,Dover Publications,2005-10-12,3.6
Vivian Gussin Paley,Hardcover,150.0,Bad Guys Don't Have Birthdays: Fantasy Play at Four,128.0,University of Chicago Press,1991-5-21,4.4
Dan Flockhart,Kindle,151.0,"Fantasy Baseball and Mathematics: A Resource Guide for Teachers and Parents, Grades 5 and Up",224.0,Jossey-Bass,2007-3-23,5.0
Saskja Cook,Kindle,152.0,Fantasy & Fairytales: by Sassy Colouring,88.0,CreateSpace Independent Publishing Platform,2018-1-24,5.0
Ian Livingstone,Hardcover,153.0,Fighting Fantasy: City of Thieves,232.0,Scholastic,2017-8-3,4.5
Anna Travis,Hardcover,154.0,"The Pillar of Light: The Milana Legends, Part One, A Christian Fantasy Adventure (Volume 1)",188.0,CreateSpace Independent Publishing Platform,2016-4-9,4.4
Emily Wibberley,Kindle,155.0,Sacrificed (The Last Oracle) (Volume 1),348.0,CreateSpace Independent Publishing Platform,2015-1-5,4.2
Damon J. Reinagle,Hardcover,156.0,Draw Alien Fantasies: A step-by-step guide,64.0,"Peel Productions, Incorporated",2015-2-5,4.9
Aaron Pocock,Paperback,157.0,Creative Haven Winged Fantasy Designs Coloring Book (Adult Coloring),64.0,Dover Publications,2016-12-14,4.4
Rebecca Young,Paperback,158.0,Famous Fantasy Character Monologs: Starring the Not-so-wicked Witch And More,135.0,Meriwether Pub,2006-9-30,3.8
Dan Flockhart,Hardcover,159.0,"Fantasy Basketball and Mathematics: A Resource Guide for Teachers and Parents, Grades 5 and Up",224.0,Jossey-Bass,2007-3-23,4.2
Michael Lummis,Paperback,160.0,Final Fantasy XI Official Strategy Guide for PS2 & PC (Spring 2004 Version),384.0,Brady Games,2004-4-5,3.8
K.F. Breene,Hardcover,161.0,Natural Witch (Magical Mayhem) (Volume 1),422.0,CreateSpace Independent Publishing Platform,2018-1-25,4.7
Eze Ugbor,Hardcover,162.0,Fantasy 5 Formula: Win Cash 5 Lottery,56.0,CreateSpace Independent Publishing Platform,2011-9-20,3.1
C.M. Stunich,Hardcover,163.0,Spirited: A Reverse Harem Fantasy Romance (The Academy of Spirits and Shadows),408.0,Independently published,2018-1-20,4.8
C. Greenwood,Kindle,164.0,Magic of Thieves,182.0,CreateSpace Independent Publishing Platform,2012-12-13,3.9
Amanda M. Lee,Kindle,165.0,Once Upon a Witch: A Wicked Witches of the Midwest Fantasy Books 1-3,520.0,CreateSpace Independent Publishing Platform,2017-6-5,4.3
N. K. Jemisin,Paperback,166.0,The Fifth Season (The Broken Earth),512.0,Orbit,2015-8-4,4.4
Rachel Quinlan,Kindle,167.0,Writers of the Future Vol 33 (L. Ron Hubbard Presents Writers of the Future),400.0,Galaxy Press,2017-4-4,4.8
L.D. Goffigan,Hardcover,169.0,Shadow Descendant (Descendants) (Volume 1),298.0,CreateSpace Independent Publishing Platform,2017-9-25,4.3
Meghan Ciana Doidge,Hardcover,170.0,"Cupcakes, Trinkets, and Other Deadly Magic (The Dowser Series) (Volume 1)",264.0,Old Man in the CrossWalk Productions,2013-6-19,4.4
Stephen C Merlino,Hardcover,172.0,The Jack of Souls (The Unseen Moon Series) (Volume 1),350.0,TORTOISE RAMPANT PRESS,2014-12-6,4.4
Dr. Stephen M. Kirby,Hardcover,173.0,The Lure of Fantasy Islam: Exposing the Myths and Myth Makers,284.0,CreateSpace Independent Publishing Platform,2017-5-18,5.0
John Corwin,Hardcover,174.0,Sweet Blood of Mine: Book One of the Overworld Chronicles (Volume 1),442.0,Raven Press,2012-3-15,4.4
The Yuw,Paperback,175.0,Final Fantasy XV Game Guide Unofficial,46.0,Booksmango,2017-2-10,3.0
Paul F. Ford,Kindle,176.0,"Companion to Narnia, Revised Edition: A Complete Guide to the Magical World of C.S. Lewis's The Chronicles of Narnia",560.0,HarperCollins Narnia,2005-7-5,4.4
Molly Harrison,Kindle,177.0,"Fairies - A Coloring Book for Grownups and All Ages: Featuring 25 pages of mystical fairies, flower fairies and fairies and their friends! Suitable for kids and adults.",52.0,CreateSpace Independent Publishing Platform,2017-4-23,4.3
Alyson Belle,Paperback,178.0,Fantasy Swap Online: A Gender Swapped LitRPG Adventure,168.0,Independently published,2017-11-10,4.2
Skye Malone,Kindle,179.0,Awaken (Awakened Fate) (Volume 1),248.0,Wildflower Isle,2014-5-29,4.3
Rotoworld,Kindle,180.0,Fantasy Football U: Expert Tips on How to Dominate Your Draft,224.0,CreateSpace Independent Publishing Platform,2017-8-12,5.0
Selina Fenech,Paperback,181.0,Goddess and Mythology Coloring Book (Fantasy Coloring by Selina) (Volume 9),108.0,Fairies and Fantasy Pty Ltd,2016-7-13,4.6
Jade Summer,Hardcover,182.0,"Animal Mandalas: An Adult Coloring Book with Mandala Designs, Mythical Creatures, and Fantasy Animals for Inspiration and Relaxation",106.0,CreateSpace Independent Publishing Platform,2016-11-19,4.4
J. S. Burke,Paperback,183.0,Fantasy Snowflakes Coloring Book,66.0,Lind Press,2017-11-23,5.0
C L Aldridge,Kindle,184.0,"Flowers of Fantasy: A Coloring Book of Fantastical Flower Designs, Flowers in Vases, Flowers and Poetry and More!",102.0,CreateSpace Independent Publishing Platform,2017-6-3,5.0
James Walters,Paperback,185.0,Fantasy Film: A Critical Introduction (Film Genres),192.0,Bloomsbury Academic,2011-6-15,
Mario Mergola,Hardcover,186.0,Diamond Dividends: Creative Strategies to Profit Through Fantasy Baseball,114.0,Mario Mergola,2017-3-13,5.0
Samantha J Lewis,Hardcover,187.0,Fairy Portraits Coloring Book: A Fantasy Coloring Adventure for Adults (Fantasy Coloring by Samantha) (Volume 2),88.0,CreateSpace Independent Publishing Platform,2017-11-16,5.0
Stephanie Cournoyer,Paperback,188.0,The Dark Fantasy Coloring Book for Adults,58.0,CreateSpace Independent Publishing Platform,2016-1-2,3.5
D. H. Lawrence,Paperback,189.0,Fantasia of the Unconscious and Psychoanalysis and the Unconscious (Penguin Twentieth Century Classics),256.0,Penguin Classics,1991-1-3,5.0
Patrick W. Carr,Hardcover,190.0,A Cast of Stones (The Staff and the Sword),432.0,Bethany House Publishers,2013-2-1,4.6
Tatiana Bogema (Stolova),Kindle,191.0,Adult Coloring Book: Nice Little Dragons (Volume 1),108.0,CreateSpace Independent Publishing Platform,2017-12-14,4.9
Christine Pope,Paperback,192.0,Dragon Rose (Tales of the Latter Kingdoms),276.0,Dark Valentine Press,2012-11-14,4.4
Edward James,Paperback,193.0,A Short History of Fantasy,296.0,Libri Publishing,2012-10-1,5.0
Meredith Dillman,Kindle,195.0,"Fantasy Fashion Art Studio: Creating Romantic Characters, Clothing and Costumes",128.0,IMPACT Books,2013-8-20,4.8
Tracy Warrington,Hardcover,196.0,Fantasy Castle Cross Stitch Patterns: Collection Number 1,166.0,CreateSpace Independent Publishing Platform,2014-11-4,4.0
Jacob Peppers,Paperback,197.0,A Sellsword's Compassion: Book One of the Seven Virtues,413.0,Independently published,2017-10-17,4.4
Samantha J Lewis,Hardcover,198.0,Dragons Coloring Book: A Fantasy Coloring Adventure for Adults (Fantasy Coloring by Samantha) (Volume 1),108.0,CreateSpace Independent Publishing Platform,2017-7-9,3.8
Robert D. Vandall,Kindle,199.0,Christmas Fantasy Duets: 4 Arrangements for Early Intermediate to Late Intermediate Pianists,40.0,Alfred Music,2010-8-1,4.3
Richard Lunch,Kindle,200.0,Claw and Crown: A Gay Viking Fantasy Shifter MPreg Romance,289.0,Independently published,2016-10-16,4.0
Rachel M. Raithby,Paperback,201.0,Wolf Sight (A New Dawn Novel),348.0,Independently published,2017-9-17,5.0
Teresa Roman,Kindle,202.0,Daughter of Magic,262.0,Teresa Roman,2016-3-12,4.4
K C Herbel,Hardcover,203.0,The King: The Jester King Fantasy Series: Book Four (Volume 4),354.0,Epic Books Press,2017-11-24,4.8
J M Martin,Kindle,205.0,Writing Fantasy Heroes: Powerful Advice from the Pros (Rogue Blades Presents),216.0,Rogue Blades Entertainment,2013-2-23,4.4
C. S. Johnson,Kindle,206.0,Calling (The Starlight Chronicles) (Volume 2),336.0,CreateSpace Independent Publishing Platform,2015-5-28,4.3
Favoreads,Hardcover,207.0,"The Land of Fantasia: Magical Adult Coloring Book with Mythical Creatures, Fairies, Fantasy Nature and Other Illustrations for Creative Stress Relief (Fantasy Coloring Book)",48.0,CreateSpace Independent Publishing Platform,2017-6-21,
Michael Tierney,Paperback,208.0,Cirsova #7: Heroic Fantasy and Science Fiction Magazine (Volume 7),106.0,CreateSpace Independent Publishing Platform,2018-2-27,
Davis Ashura,Paperback,210.0,William Wilde and the Necrosed (The Chronicles of William Wilde),356.0,DuSum Publishing,2018-2-27,5.0
