_id,ltable_ID,rtable_ID,ltable_Name,ltable_Author,ltable_Publisher,ltable_Publishing_Date,ltable_Format,ltable_Pages,ltable_Rating,rtable_Name,rtable_Author,rtable_Publisher,rtable_Publishing_Date,rtable_Format,rtable_Pages,rtable_Rating
76,657,695,Manga Mania Fantasy Worlds: How to Draw the Amazing Worlds of Japanese Comics,Christopher Hart,Watson-Guptill,2003-9-1,Kindle,144.0,3.8,Astonishing Fantasy Worlds: The Ultimate Guide to Drawing Adventure Fantasy Art,Christopher Hart,Watson-Guptill,2008-09-30,Paperback,144.0,3.33
78,2817,727,City of Masks: (An Epic Fantasy Novel) (Bone Mask Trilogy),Ashley Capes,Close-Up Books,2017-4-2,Paperback,490.0,4.4,City of Masks: An Epic Fantasy Novel,Ashley Capes,Snapping Turtle Books,2014-05-24,Kindle Edition,423.0,3.89
89,1079,776,Get Started in: Writing Science Fiction and Fantasy (Teach Yourself),Adam Roberts,Teach Yourself,2014-6-27,Kindle,256.0,5.0,Get Started in: Writing Science Fiction and Fantasy,Adam Roberts,Teach Yourself,2014-06-27,Paperback,256.0,4.14
91,1011,802,Her Wicked Fantasy,Taylor Johns,CreateSpace Independent Publishing Platform,2016-11-12,Paperback,370.0,4.9,Her Wicked Fantasy,Taylor Johns,,,,,4.48
96,611,846,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"Fantasy & Science Fiction, July/August 2012",Gordon Van Gelder,"Spilogale, Inc",2012-07-01,Paperback,260.0,3.93
100,407,885,Final Fantasy XV: Standard Edition,Piggyback,Piggyback,2016-11-29,Hardcover,320.0,4.5,Lightning Returns: Final Fantasy XIII: The Complete Official Guide - Collector's Edition,Piggyback,Piggyback,2014-02-11,Hardcover,352.0,4.38
104,24,893,Winning Fantasy Baseball: Secret Strategies of a Nine-Time National Champion,Larry Schechter,Emerald Book Company,2014-1-7,Paperback,360.0,4.5,Winning Fantasy Baseball: Secret Strategies of a Nine-Time National Champion,Larry Schechter,Emerald Book Company,2014-01-07,Paperback,360.0,3.57
105,727,921,The Year's Best Fantasy Stories: 3 (Year's Best Fantasy),Lin Carter,DAW,1977-11-15,Kindle,240.0,2.0,The Year's Best Fantasy Stories 2,Lin Carter,DAW,1976-08-17,Paperback,192.0,3.52
109,611,966,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"Fantasy & Science Fiction, January/February 2014",Gordon Van Gelder,Spilogale,2014-01-01,Paperback,260.0,3.44
111,2091,1002,The Tell-Tale Heart (Bantam Classics),Edgar Allan Poe,Bantam Classics,1983-2-1,Paperback,448.0,4.4,Ligeia (Fantasy and Horror Classics),Edgar Allan Poe,Fantasy and Horror Classics,2011-04-28,Paperback,26.0,3.81
112,990,1002,The Murders in the Rue Morgue (Modern Library Classics),Edgar Allan Poe,Modern Library,2006-5-23,Hardcover,160.0,3.9,Ligeia (Fantasy and Horror Classics),Edgar Allan Poe,Fantasy and Horror Classics,2011-04-28,Paperback,26.0,3.81
114,1057,1031,"Legends II: Dragon, Sword, and King",Robert Silverberg,Del Rey,2004-10-26,Hardcover,416.0,4.3,Legends II: New Short Novels by the Masters of Modern Fantasy: Volume One,Robert Silverberg,Random House Audio,2003-12-30,Audio Cassette,0.0,3.9
115,400,1036,Legends: Stories By The Masters of Modern Fantasy,Robert Silverberg,Tor Fantasy,,Hardcover,715.0,4.4,Legends-Vol. 3 Stories By The Masters of Modern Fantasy,Robert Silverberg,Tor Books,2013-05-07,ebook,448.0,3.87
123,611,1118,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"Fantasy & Science Fiction, July/August 2013",Gordon Van Gelder,"Spilogale, Inc.",2013-07-01,Kindle Edition,258.0,3.75
129,1982,1196,Dragon Fate: Book Six of The Age of Fire,E.E. Knight,Ace,2013-2-5,Paperback,384.0,3.5,"Dragon Banni: L'Âge du feu, T3",E.E. Knight,Milady,2010-12-18,Kindle Edition,448.0,4.09
132,2682,1196,Dragon Strike: Book Four of the Age of Fire,E.E. Knight,Ace,2012-3-6,Paperback,384.0,4.3,"Dragon Banni: L'Âge du feu, T3",E.E. Knight,Milady,2010-12-18,Kindle Edition,448.0,4.09
133,251,1197,The Ultimate Guide to Sexual Fantasy: How to Turn Your Fantasies into Reality,Violet Blue,Cleis Press,2004-8-18,Hardcover,250.0,4.3,Lips Like Sugar: Women's Erotic Fantasies,Violet Blue,Cleis Press,2006-02-24,Paperback,200.0,3.32
134,251,1230,The Ultimate Guide to Sexual Fantasy: How to Turn Your Fantasies into Reality,Violet Blue,Cleis Press,2004-8-18,Hardcover,250.0,4.3,The Ultimate Guide to Sexual Fantasy: How to Turn Your Fantasies into Reality (Ultimate Guides Series),Violet Blue,Cleis Press,2004-08-18,Paperback,250.0,3.96
136,194,1262,Anatomy for Fantasy Artists: An Essential Guide to Creating Action Figures and Fantastical Forms,Glenn Fabry,Barron's Educational Series,2013-3-1,Hardcover,160.0,3.9,Anatomy for Fantasy Artists: An Illustrator's Guide to Creating Action Figures and Fantastical Forms,Glenn Fabry,Barron's Educational Series,2005-03-01,Paperback,128.0,3.73
137,727,1265,The Year's Best Fantasy Stories: 3 (Year's Best Fantasy),Lin Carter,DAW,1977-11-15,Kindle,240.0,2.0,The Year's Best Fantasy Stories 5,Lin Carter,DAW,1980-01-02,Mass Market Paperback,204.0,4.0
145,1872,1331,Inspector Hobbes and the Gold Diggers: Humorous mystery (unhuman) (Volume 3),Wilkie Martin,The Witcherley Book Company,2014-9-28,Hardcover,328.0,4.6,Inspector Hobbes and the Blood: Comedy Crime Fantasy,Wilkie Martin,Witcherley Book Company,2017-01-20,Hardcover,,3.82
150,1255,1353,On the Edge of the Dark Sea of Darkness (The Wingfeather Saga),Andrew Peterson,WaterBrook,2008-3-18,Hardcover,304.0,4.7,On the Edge of the Dark Sea of Darkness: Adventure. Peril. Lost Jewels. And the Fearsome Toothy Cows of Skree.,Andrew Peterson,Oasis Audio,2008-03-25,Audio CD,0.0,4.26
152,22,1379,Final Fantasy X Official Strategy Guide (Brady Games Signature Series),Dan Birlew,BRADY GAMES,2002-0-0,Kindle,272.0,4.4,Final Fantasy IX Official Strategy Guide (Video Game Books),Dan Birlew,BradyGames,2000-11-18,Paperback,208.0,3.56
154,106,1379,Final Fantasy Chronicles Official Strategy Guide: Chrono Trigger and Final Fantasy 4,Dan Birlew,Brady Games,2001-7-2,Hardcover,160.0,4.5,Final Fantasy IX Official Strategy Guide (Video Game Books),Dan Birlew,BradyGames,2000-11-18,Paperback,208.0,3.56
155,954,1382,"Atlantis Found (Dirk Pitt, No. 15)",Clive Cussler,G.P. Putnam's Sons,2001-5-1,Paperback,704.0,4.4,Night Probe!: A Dirk Pitt Adventure,Clive Cussler,Bantam,2014-11-11,Paperback,432.0,3.9
156,1474,1382,Valhalla Rising (Dirk Pitt),Clive Cussler,G.P. Putnam's Sons,2002-7-30,Kindle,531.0,4.5,Night Probe!: A Dirk Pitt Adventure,Clive Cussler,Bantam,2014-11-11,Paperback,432.0,3.9
158,1474,1385,Valhalla Rising (Dirk Pitt),Clive Cussler,G.P. Putnam's Sons,2002-7-30,Kindle,531.0,4.5,Cyclops (Dirk Pitt 8),Clive Cussler,DEBOLS!LLO,2014-02-20,Kindle Edition,475.0,3.86
159,564,1407,Children's Fantasy Literature: An Introduction,Michael Levy,Cambridge University Press,2016-4-16,Kindle,282.0,5.0,Children's Fantasy Literature,Michael    Levy,Cambridge University Press,2016-08-03,Hardcover,284.0,4.09
160,1995,1411,Dracula (Oxford World's Classics),Bram Stoker,Oxford University Press,2011-2-11,Paperback,448.0,4.4,Crooken Sands (Fantasy and Horror Classics),Bram Stoker,Fantasy and Horror Classics,2011-04-28,Paperback,22.0,3.2
164,2798,1435,Tarzan of the Apes,Edgar Rice Burroughs,Digireads.com,2016-1-4,Kindle,190.0,4.0,Tarzan: The Lost Adventure,Edgar Rice Burroughs,Del Rey,1997-04-28,Mass Market Paperback,272.0,3.66
166,3356,1446,On Blazing Wings (Military & War Short Stories Collection),L. Ron Hubbard,Galaxy Press,2011-2-21,Hardcover,128.0,4.2,Writers of the Future Volume 34: The Best New Sci Fi and Fantasy Short Stories of the Year,L. Ron Hubbard,,,Paperback,,4.0
169,954,1456,"Atlantis Found (Dirk Pitt, No. 15)",Clive Cussler,G.P. Putnam's Sons,2001-5-1,Paperback,704.0,4.4,Treasure of Khan: Dirk Pitt #19,Clive Cussler,Penguin,2012-06-07,Kindle Edition,704.0,3.89
170,1474,1456,Valhalla Rising (Dirk Pitt),Clive Cussler,G.P. Putnam's Sons,2002-7-30,Kindle,531.0,4.5,Treasure of Khan: Dirk Pitt #19,Clive Cussler,Penguin,2012-06-07,Kindle Edition,704.0,3.89
171,69,1477,Democracy and Other Neoliberal Fantasies: Communicative Capitalism and Left Politics,Jodi Dean,Duke University Press,2009-9-2,Hardcover,232.0,4.0,Democracy and Other Neoliberal Fantasies: Communicative Capitalism and Left Politics,Jodi Dean,Duke University Press Books,2009-09-02,Paperback,232.0,3.88
173,611,1481,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"Fantasy & Science Fiction, March/April 2014",Gordon Van Gelder,"Spilogale, Inc.",2014-03-01,Kindle Edition,,3.54
174,365,1486,High Fantasy (The Feedback Loop) (Volume 3),Harmon Cooper,CreateSpace Independent Publishing Platform,2015-12-17,Paperback,356.0,,High Fantasy,Harmon Cooper,Boycott Books,2015-12-26,Kindle Edition,262.0,4.16
177,1281,1553,"The Magazine of Fantasy and Science Fiction, July 1969 (Volume 37, No. 1)",Fritz Leiber,Mercury Press,1969-0-0,Hardcover,,,"The Big Time by Fritz Leiber, Science Fiction, Fantasy",Fritz Leiber,Aegypan,2011-06-01,Hardcover,134.0,3.27
178,611,1593,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,2014-7-15,Paperback,432.0,4.2,"The Magazine of Fantasy & Science Fiction, March/April 2015",Gordon Van Gelder,"Spilogale, Inc.",2015-02-27,Kindle Edition,,4.03
183,576,1639,"The Complete Guide to Writing Fantasy, Vol. 2: The Opus Magus",Tee Morris,Dragon Moon Press,2007-10-1,Paperback,320.0,3.8,The Complete Guide to Writing Fantasy: The Opus Magnus,Tee Morris,Dragon Moon Press,2003-09-01,Paperback,296.0,4.04
184,209,1666,Shared Fantasy: Role Playing Games as Social Worlds,Gary Alan Fine,University of Chicago Press,2002-8-14,Kindle,298.0,3.7,Shared Fantasy: Role Playing Games as Social Worlds,Gary Alan Fine,University Of Chicago Press,2002-08-14,Paperback,298.0,3.91
186,251,1672,The Ultimate Guide to Sexual Fantasy: How to Turn Your Fantasies into Reality,Violet Blue,Cleis Press,2004-8-18,Hardcover,250.0,4.3,Sweet Confessions: Erotic Fantasies for Couples,Violet Blue,Cleis Press,2011-07-01,Paperback,224.0,3.88
188,515,1681,Worlds Apart: An Anthology of Russian Fantasy and Science Fiction,Alexander Levitsky,The Overlook Press,2008-7-29,Kindle,656.0,3.6,Worlds Apart: An Anthology of Russian Science Fiction and Fantasy,Alexander Levitsky,The Overlook Press,2007-08-16,Hardcover,655.0,4.02
189,563,1682,The Evolution of Fantasy Role-Playing Games,Michael J. Tresca,McFarland,2010-11-16,Kindle,238.0,4.1,The Evolution of Fantasy Role-playing Games,Michael Tresca,McFarland & Company,2010-11-21,Paperback,228.0,2.68
192,379,1709,Dragonart: How to Draw Fantastic Dragons and Fantasy Creatures,"Jessica ""Neon Dragon"" Peffer",IMPACT Books,2005-9-25,Paperback,128.0,4.6,Dragonart Fantasy Characters: How to Draw Fantastic Beings and Incredible Creatures,Jessica Peffer,Impact,2007-09-01,Paperback,128.0,4.37
193,519,1713,"Fantasies of the Master Race: Literature, Cinema, and the Colonization of American Indians",Ward Churchill,City Lights Publishers,2001-1-1,Paperback,261.0,4.1,"Fantasies of the Master Race: Literature, Cinema & the Colonization of American Indians",Ward Churchill,City Lights Publishers,2001-01-01,Paperback,261.0,3.88
196,395,1750,"Male Fantasies, Vol. 1: Women, Floods, Bodies, History (Theory and History of Literature, Vol. 22) (Volume 1)",Klaus Theweleit,Univ Of Minnesota Press,1987-4-1,Paperback,544.0,3.5,Male Fantasies: Volume 2: Male Bodies: Psychoanalyzing the White Terror,Klaus Theweleit,Univ Of Minnesota Press,1989-05-08,Paperback,536.0,4.11
197,666,1786,Gurp's Fantasy Folk,Chris W. McCubbin,Steve Jackson Games,1991-8-1,Kindle,,5.0,GURPS Fantasy Folk,Chris W. McCubbin,Steve Jackson Games,2000-11-01,Paperback,144.0,3.6
198,687,1834,J.R.R. Tolkien: Master of Fantasy (Lerner Biographies),David R. Collins,First Avenue Editions,1993-1-1,Kindle,128.0,5.0,J.R.R. Tolkien: Master of Fantasy,David R. Collins,Lerner Publishing Group,1992-10-01,Hardcover,112.0,3.65
200,1474,1842,Valhalla Rising (Dirk Pitt),Clive Cussler,G.P. Putnam's Sons,2002-7-30,Kindle,531.0,4.5,Trojan Odyssey: Dirk Pitt #17,Clive Cussler,Penguin,2012-06-07,Kindle Edition,508.0,3.92
202,524,1866,Lightning Returns: Final Fantasy XIII: The Complete Official Guide,Piggyback,Piggyback,2014-2-11,Hardcover,320.0,4.6,Final Fantasy X: The Official Strategy Guide,Piggyback,Piggyback Interactive,2002-05-01,Paperback,228.0,4.43
206,232,1866,Final Fantasy XII: The Complete Guide,Piggyback,Piggyback Interactive,2007-0-0,Paperback,340.0,5.0,Final Fantasy X: The Official Strategy Guide,Piggyback,Piggyback Interactive,2002-05-01,Paperback,228.0,4.43
207,377,1866,Final Fantasy XIII: Complete Official Guide - Standard Edition,Piggyback,Piggyback,2010-3-9,Hardcover,256.0,4.6,Final Fantasy X: The Official Strategy Guide,Piggyback,Piggyback Interactive,2002-05-01,Paperback,228.0,4.43
208,83,1871,The Fantasy Illustrator's Technique Book (Quarto Book),Gary A. Lippincott,Barron's Educational Series,2007-2-1,Kindle,128.0,4.4,"The Fantasy Illustrator's Technique Book: From Creating Characters To Selling Your Work, Learn The Skills Of The Professional Fantasy Artist",Gary A. Lippincott,David & Charles Publishers,2007-04-27,Paperback,128.0,4.13
216,94,1929,"Vietnam and Other American Fantasies (Culture, Politics, and the Cold War)",H. Bruce Franklin,University of Massachusetts Press,2001-10-25,Hardcover,272.0,3.6,Vietnam & Other American Fantasies,Howard Bruce Franklin,University of Massachusetts Press,2000-10-01,Hardcover,256.0,4.11
217,824,1932,His Driven Domme (The Dungeon Fantasy Club) (Volume 4),Anya Summers,Blushing Books Publications,2016-7-14,Kindle,220.0,4.6,His Driven Domme,Anya Summers,Blushing Books Publications,2016-07-14,Kindle Edition,145.0,4.34
218,143,1936,"Fantasy Magazine, Issue 60 (Dec. 2016, People of Colo(u)r Destroy Fantasy! Special Issue) (Volume 60)",Daniel Jos\u00e9 Older,CreateSpace Independent Publishing Platform,2016-12-1,Paperback,150.0,5.0,Fantasy Issue 60 - Dec. 2016: People of Colo(u)r Destroy Fantasy! Special Issue,Daniel José Older,John Joseph Adams,2016-12-01,Kindle Edition,200.0,4.35
220,2591,1950,Gentlemen of the Road: A Tale of Adventure,Michael Chabon,Del Rey,2008-9-30,Paperback,228.0,3.7,Gentlemen of the Road: A Tale of Adventure,Michael Chabon,Del Rey,2008-09-30,Paperback,206.0,3.42
224,2853,1967,Frostgrave: Thaw of the Lich Lord,Joseph A. McCullough,Osprey Publishing,2015-11-17,Paperback,64.0,4.8,Frostgrave: Fantasy Wargames in the Frozen City,Joseph McCullough,Osprey Publishing,2015-07-21,Hardcover,136.0,4.31
225,2795,1973,Hope and Red (The Empire of Storms),Jon Skovron,Orbit,2016-6-28,Hardcover,544.0,4.2,"Hope & Red: L'Empire des tempêtes, T1",Jon Skovron,Bragelonne,2017-03-15,Kindle Edition,479.0,3.94
228,796,2002,"The Year's Best Science Fiction & Fantasy, 2009 Edition (Year's Best Science Fiction and Fantasy)",Rich Horton,Prime Books,2010-1-5,Hardcover,544.0,3.7,The Year's Best Science Fiction & Fantasy 2015 Edition,Rich Horton,Prime Books,2015-06-02,Kindle Edition,576.0,3.63
229,527,2002,8: The Year's Best Science Fiction & Fantasy 2016 Edition (Year's Best Science Fiction and Fantasy),Rich Horton,Prime Books,2016-6-21,Hardcover,576.0,3.9,The Year's Best Science Fiction & Fantasy 2015 Edition,Rich Horton,Prime Books,2015-06-02,Kindle Edition,576.0,3.63
230,796,2011,"The Year's Best Science Fiction & Fantasy, 2009 Edition (Year's Best Science Fiction and Fantasy)",Rich Horton,Prime Books,2010-1-5,Hardcover,544.0,3.7,The Year's Best Science Fiction & Fantasy 2016,Rich Horton,Prime Books,2016-06-21,Paperback,576.0,3.7
231,527,2011,8: The Year's Best Science Fiction & Fantasy 2016 Edition (Year's Best Science Fiction and Fantasy),Rich Horton,Prime Books,2016-6-21,Hardcover,576.0,3.9,The Year's Best Science Fiction & Fantasy 2016,Rich Horton,Prime Books,2016-06-21,Paperback,576.0,3.7
233,426,2013,FINAL FANTASY X-2 Limited Edition,Dan Birlew,BRADY GAMES,2003-11-20,Kindle,96.0,4.6,Final Fantasy X-2 Official Strategy Guide,Dan Birlew,BradyGames,2003-11-13,Paperback,352.0,4.07
235,106,2013,Final Fantasy Chronicles Official Strategy Guide: Chrono Trigger and Final Fantasy 4,Dan Birlew,Brady Games,2001-7-2,Hardcover,160.0,4.5,Final Fantasy X-2 Official Strategy Guide,Dan Birlew,BradyGames,2003-11-13,Paperback,352.0,4.07
236,35,2044,"Now Write! Science Fiction, Fantasy and Horror: Speculative Genre Exercises from Today's Best Writers and Teachers",Laurie Lamson,TarcherPerigee,2014-2-20,Hardcover,384.0,4.4,"Now Write! Science Fiction, Fantasy and Horror: Speculative Genre Exercises from Today's Best Writers and Teachers",Laurie Lamson,TarcherPerigee,2014-02-20,Paperback,384.0,3.81
240,409,2117,The Dreamer and the Fantasy Relationship,Natalie Lue,CreateSpace Independent Publishing Platform,2013-10-8,Hardcover,262.0,4.3,The Dreamer and the Fantasy Relationship,Natalie Lue,,,Kindle Edition,234.0,4.28
241,1085,2156,Writers Workshop of Science Fiction & Fantasy,Michael Knost,"Seventh Star Press, LLC",2013-5-14,Kindle,276.0,4.4,Writers Workshop of Science Fiction & Fantasy,Michael Knost,Seventh Star Press,2013-04-18,ebook,210.0,4.22
