,docID,position,term,label
389,107,169,somehow,False
390,107,177,never,False
393,107,192,finally,False
394,107,200,decided,False
396,107,211,go,False
398,107,218,itthe,False
399,107,224,atmosphere,False
401,107,238,fine,False
403,107,248,nice,False
405,107,257,clean,False
407,107,267,much,False
408,107,272,larger,False
412,107,294,realize,False
415,107,311,outside,False
417,107,324,decor,False
420,107,335,bit,False
421,107,339,cheesy,False
423,107,351,faux,False
424,107,356,roman,False
425,107,362,sculptures,False
426,107,374,service,False
429,107,391,good,False
431,107,401,waiter,False
433,107,412,quick,False
436,107,427,drinks,False
438,107,438,food,False
441,107,451,helpful,False
443,107,464,suggestions,False
444,107,477,now,False
447,107,488,food,False
449,107,497,husband,False
450,107,505,ordered,False
452,107,517,veal,False
453,107,522,parm,False
456,107,533,ordered,False
458,107,543,pasta,True
460,107,554,chicken,True
462,107,566,ordered,False
463,107,574,brushetta,True
466,107,589,starter,False
468,107,600,noticed,False
471,107,617,menu,False
475,107,635,lot,False
477,107,642,selection,False
478,107,652,many,False
481,107,664,pasta,True
482,107,670,dishes,False
485,107,684,bit,False
486,107,688,uninspired,False
488,107,702,lot,False
491,107,714,basic,False
492,107,720,dishes,False
493,107,728,pasta,True
495,107,739,mushrooms,True
497,107,509,red,False
498,107,757,sauce,True
500,107,766,pasta,True
502,107,777,shrimp,True
504,107,788,pesto,True
505,107,794,etc,False
507,107,801,really,False
508,107,808,enjoy,False
509,107,814,creative,False
510,107,823,combinations,False
512,107,840,flavours,False
515,107,391,go,False
518,107,865,italian,False
519,107,873,restaurant,False
521,107,892,quite,False
522,107,898,honestly,False
524,107,909,can,False
525,107,913,make,False
527,107,922,basic,False
528,107,928,stuff,False
530,107,937,home,False
533,107,950,hell,False
536,107,960,lot,False
537,107,964,cheaper,False
539,107,975,bread,True
541,107,985,served,False
544,107,999,table,False
548,107,1020,bread,True
551,107,1035,brushetta,True
553,107,1050,brushetta,True
554,107,1060,wasnt,False
555,107,72,great,False
557,107,1077,tomato,True
558,107,1084,mixture,False
560,107,1095,top,False
562,107,1103,good,False
565,107,1116,bread,True
566,107,1122,wasnt,False
567,107,1128,properly,False
568,107,1137,toasted,False
571,107,1151,got,False
572,107,1155,soggy,False
574,107,1165,couldnt,False
575,107,1173,hold,False
577,107,1182,shape,False
579,107,1192,kept,False
580,107,1197,falling,False
581,107,1205,apart,False
584,107,1220,picked,False
588,107,1238,desserts,False
589,107,1247,really,False
590,107,1254,brought,False
592,107,1267,place,False
593,107,1273,back,False
599,107,1298,homemade,False
600,107,1307,creme,False
601,107,1313,brule,False
605,107,1330,really,False
606,107,1337,excellent,False
609,107,1355,menu,False
611,107,1363,tells,False
615,107,1302,made,False
616,107,1388,inhouse,False
620,107,1408,highly,False
621,107,1415,recommend,False
622,107,1425,getting,False
623,107,899,one,False
626,107,1447,overall,False
629,107,1462,quite,False
630,107,1468,expensive,False
632,107,1482,pretty,False
633,107,1489,basic,False
634,107,1495,italian,False
635,107,1503,food,False
638,107,1514,didnt,False
639,107,1520,stun,False
641,107,780,im,False
643,107,1536,opposed,False
645,107,1547,going,False
646,107,1553,back,False
651,107,1573,first,False
652,107,1579,choice,False
654,107,1590,major,False
655,107,1596,reason,False
657,107,1607,going,False
658,107,1613,back,False
659,107,1618,will,False
662,107,1630,convenience,False
667,107,1659,close,False
669,107,498,us,False
671,108,3,wanted,False
672,108,10,something,False
673,108,20,sweet,False
675,108,30,dessert,False
678,108,47,dinner,False
680,108,57,made,False
682,108,66,way,False
685,108,78,place,False
687,108,90,boasts,False
689,108,101,best,False
690,108,106,gelato,True
692,108,116,toronto,False
694,108,129,gelato,True
696,108,140,good,False
698,108,149,certainly,False
699,108,159,wasnt,False
701,108,169,best,False
702,108,174,ive,False
706,108,190,much,False
708,108,200,akin,False
710,108,208,ice,False
711,108,212,cream,False
714,108,226,flavour,False
715,108,234,selection,False
716,108,244,wasnt,False
717,108,250,huge,False
719,108,261,said,False
723,108,281,interesting,False
724,108,293,flavours,False
726,108,305,personally,False
727,108,316,tried,False
728,108,322,twix,True
730,108,331,birthday,False
731,108,340,cake,True
737,108,369,good,False
740,108,384,traditional,False
741,108,293,flavour,False
743,108,406,tried,False
744,108,412,creme,False
745,108,418,caramel,False
748,108,432,little,False
749,108,439,boring,False
751,108,450,lacked,False
752,108,396,flavour,False
754,108,469,husband,False
757,108,485,strawberry,True
758,108,496,skor,True
760,108,505,chocolate,True
762,108,520,fine,False
763,108,525,none,False
764,108,530,blew,False
766,108,538,away,False
767,108,543,oh,False
768,108,546,well,False
770,108,554,biggie,False
772,108,564,since,False
774,108,575,place,False
778,108,594,cupcakes,True
780,108,607,may,False
782,108,614,interested,False
785,108,632,cupcakes,True
786,108,643,well,False
788,108,652,taste,False
790,108,662,overall,False
791,108,670,good,False
797,108,693,oily,False
798,108,594,cupcake,True
800,108,711,icing,False
801,108,717,especially,False
803,108,597,cake,True
805,108,742,moist,False
808,108,757,good,False
809,108,764,except,False
813,108,781,moist,False
815,108,635,cake,True
817,108,800,just,False
818,108,805,falling,False
819,108,813,apart,False
820,108,819,everywhere,False
822,108,833,whats,False
824,108,843,final,False
825,108,849,synopsis,False
827,108,864,place,False
828,108,870,isnt,False
829,108,875,bad,False
833,108,892,delicious,False
834,108,902,options,False
836,108,915,nothing,False
838,108,926,perfect,False
841,108,941,fact,False
845,108,958,number,False
847,108,968,flaws,False
849,108,980,prevent,False
852,108,996,giving,False
855,108,1008,better,False
856,108,1015,score,False
857,108,1022,well,False
858,108,1027,see,False
861,108,1037,feel,False
865,108,1051,boiling,False
866,108,1059,hot,False
867,108,1063,summer,False
868,108,336,day,False
870,108,1078,may,False
872,108,1085,singing,False
874,108,1095,different,False
875,108,1105,tune,False
878,110,8,really,False
879,110,15,enjoyed,False
881,110,27,noodles,True
883,110,41,signature,False
884,110,51,pork,True
885,110,56,buns,False
887,110,67,seemed,False
890,110,80,something,False
891,110,90,everyone,False
892,110,99,orders,False
894,110,110,raves,False
899,110,132,like,False
903,110,149,pork,True
905,110,158,pure,False
906,110,163,fat,False
910,110,180,wasnt,False
911,110,186,gristly,False
915,110,204,greasy,False
917,110,215,grease,False
918,110,222,positively,False
919,110,233,dripped,False
923,110,255,hands,False
926,110,269,hugely,False
927,110,276,unappetizing,False
929,110,292,couldnt,False
930,110,300,taste,False
932,110,310,cucumbers,True
934,110,324,didnt,False
935,110,67,see,False
937,110,338,evidence,False
939,110,350,scallions,True
942,110,368,basically,False
943,110,378,just,False
944,110,383,pure,False
945,110,388,fat,False
946,110,392,wrapped,False
949,110,405,bland,False
950,110,56,bun,True
953,110,421,guess,False
956,110,15,enjoy,False
957,110,440,really,False
958,110,447,fatty,False
959,110,453,greasy,False
960,110,460,appetizers,False
964,110,483,right,False
965,110,489,deal,False
966,110,495,really,False
968,110,504,cant,False
969,110,509,stress,False
970,110,516,enough,False
972,110,527,fatty,False
974,110,537,pork,True
977,110,552,noodles,True
978,110,560,however,False
980,110,573,quite,False
981,110,579,good,False
984,110,590,liked,False
986,110,600,flavour,False
987,110,608,combinations,False
991,110,632,dan,False
992,110,636,dan,False
993,110,640,noodles,True
996,110,657,spicy,False
997,110,663,pork,True
998,110,668,dried,False
999,110,674,scallops,True
1001,110,687,peanuts,True
1003,110,698,enjoyed,False
1007,110,721,really,False
1008,110,728,taste,False
1010,110,738,peanuts,True
1014,110,755,little,False
1015,110,762,disappointed,False
1018,110,784,pork,True
1020,110,793,ground,False
1021,110,800,pork,True
1022,110,805,instead,False
1024,110,816,shredded,False
1025,110,825,pork,True
1027,110,834,made,False
1029,110,843,dish,False
1030,110,67,seem,False
1031,110,853,cheaper,False
1033,110,865,less,False
1034,110,870,inspired,False
1036,110,882,liked,False
1038,110,892,atmosphere,False
1041,110,911,seating,False
1044,110,925,long,False
1045,110,930,tables,False
1049,110,948,share,False
1051,110,958,space,False
1053,110,969,whoever,False
1055,110,982,place,False
1056,110,988,next,False
1060,110,1005,seats,False
1062,110,1015,long,False
1063,110,1020,benches,False
1066,110,1034,youre,False
1069,110,1047,middle,False
1072,110,1020,bench,False
1076,110,1079,lift,False
1078,110,1089,leg,False
1081,110,1102,saw,False
1082,110,1106,guys,False
1083,110,1111,struggling,False
1087,110,1135,now,False
1088,110,1139,imagine,False
1091,110,1155,girl,False
1092,110,1160,wearing,False
1094,110,1170,skirt,False
1101,110,1202,graceful,False
1102,110,1211,way,False
1104,110,579,go,False
1106,110,1227,thatto,False
1108,110,1237,honest,False
1110,110,1249,place,False
1111,110,1255,just,False
1112,110,1260,didnt,False
1113,110,1266,blow,False
1115,110,1274,away,False
1116,110,1279,enough,False
1118,110,1289,make,False
1120,110,1296,conscious,False
1121,110,1306,effort,False
1123,110,1316,return,False
1125,110,1327,certainly,False
1126,110,1337,wasnt,False
1127,110,1343,terrible,False
1130,110,1359,wasnt,False
1131,110,1365,really,False
1132,110,1372,good,False
1133,110,1377,either,False
1135,111,3,booked,False
1137,111,12,reservation,False
1139,111,27,smith,False
1141,111,37,summerlicious,False
1142,111,52,one,False
1145,111,63,major,False
1146,111,69,problems,False
1148,111,82,finding,False
1150,111,93,though,False
1151,111,101,almost,False
1152,111,108,every,False
1153,111,114,one,False
1156,111,125,party,False
1157,111,131,either,False
1158,111,138,didnt,False
1159,111,144,see,False
1161,111,151,initially,False
1163,111,165,sort,False
1165,111,173,nondescript,False
1166,111,185,looking,False
1168,111,196,werent,False
1169,111,203,sure,False
1171,111,214,door,False
1172,111,219,staircase,False
1175,111,237,proper,False
1176,111,244,one,False
1178,111,251,get,False
1179,111,255,inside,False
1181,111,268,inside,False
1182,111,275,though,False
1185,111,289,eclectic,False
1186,111,298,blend,False
1188,111,307,vintage,False
1189,111,315,meets,False
1190,111,321,whitewashed,False
1191,111,333,industrial,False
1194,111,352,didnt,False
1195,111,358,know,False
1199,111,374,style,False
1200,111,380,neither,False
1205,111,401,totally,False
1206,111,409,works,False
1210,111,428,great,False
1211,111,434,blend,False
1213,111,443,music,False
1216,111,456,background,False
1220,111,478,mix,False
1221,111,482,probably,False
1223,111,494,employee,False
1224,111,503,just,False
1225,111,508,made,False
1230,111,527,great,False
1231,111,533,mood,False
1232,111,538,music,False
1234,111,547,want,False
1236,111,557,mix,False
1237,111,561,cd,False
1239,111,567,brother,False
1241,111,579,called,False
1242,111,586,several,False
1243,111,594,weeks,False
1244,111,600,ago,False
1246,111,607,make,False
1248,111,614,reservation,False
1250,111,630,somehow,False
1252,111,643,didnt,False
1255,111,658,apparently,False
1258,111,676,answering,False
1259,111,686,service,False
1261,111,698,reservations,False
1264,111,720,say,False
1266,111,579,call,False
1268,111,456,back,False
1271,111,751,cant,False
1272,111,756,accommodate,False
1275,111,776,never,False
1276,111,782,received,False
1278,111,729,call,False
1279,111,738,back,False
1282,111,810,assumption,False
1286,111,698,reservation,False
1288,111,850,alright,False
1289,111,859,unfortunately,False
1292,111,878,said,False
1296,111,834,reservation,False
1298,111,913,staff,False
1299,111,919,apologized,False
1300,111,930,profusely,False
1301,111,940,though,False
1303,111,951,luckily,False
1306,111,969,space,False
1309,111,984,set,False
1312,111,993,table,False
1314,111,48,us,False
1315,111,852,right,False
1316,111,1012,away,False
1318,111,1021,ordered,False
1321,111,1038,drink,False
1322,111,1044,menu,False
1325,111,1055,will,False
1326,111,1060,say,False
1329,111,1074,drinks,False
1332,111,1090,expensive,False
1334,111,1105,wine,False
1339,111,1128,expect,False
1342,111,1143,mixed,False
1343,111,1074,drink,False
1345,111,1158,least,False
1347,111,1168,one,False
1351,111,1182,smith,False
1352,111,1188,lemonade,False
1354,111,1201,fantastic,False
1358,111,1222,also,False
1361,111,1237,steep,False
1362,111,1243,even,False
1364,111,1252,toronto,False
1365,111,1260,bar,False
1366,111,1264,standards,False
1369,111,1280,said,False
1371,111,1288,ordered,False
1374,111,1305,summerlicious,False
1375,111,1319,menu,False
1378,111,1332,heard,False
1379,111,1338,many,False
1380,111,1343,comments,False
1381,111,1352,online,False
1383,111,1364,people,False
1385,111,1375,feeling,False
1386,111,1383,disillusioned,False
1388,111,1402,summerlicious,False
1391,111,1427,many,False
1392,111,1432,restaurants,False
1393,111,1444,give,False
1396,111,1457,cheapest,False
1397,111,1466,options,False
1401,111,1486,worth,False
1403,111,1496,cost,False
1408,111,224,case,False
1410,111,1529,smith,False
1415,111,1554,several,False
1416,111,1562,great,False
1417,111,1568,options,False
1419,111,1579,choose,False
1423,111,1599,food,False
1425,111,1608,excellent,False
1429,111,1629,curried,False
1430,111,1637,carrot,False
1431,111,1644,soup,False
1434,111,1659,spicy,False
1436,111,1669,great,False
1437,111,1676,every,False
1438,111,1392,one,False
1439,111,1686,else,False
1442,111,1697,party,False
1443,111,1703,also,False
1444,111,1708,enjoyed,False
1446,111,1722,various,False
1447,111,1730,appetizers,False
1449,111,1745,main,False
1450,111,1750,course,False
1453,111,1763,georgian,False
1454,111,1772,bay,False
1455,111,1776,whitefish,False
1458,111,1796,done,False
1459,111,1801,perfectly,False
1460,111,1811,just,False
1461,111,1816,crispy,False
1462,111,1823,enough,False
1465,111,1837,outside,False
1467,111,1849,flaky,False
1470,111,1862,inside,False
1472,111,1874,pork,False
1473,111,1879,chops,False
1475,111,1890,also,False
1476,111,1895,raved,False
1480,111,1918,also,False
1482,111,1925,risotto,True
1484,111,1939,two,False
1487,111,1950,three,False
1488,111,1956,people,False
1490,111,1967,ordered,False
1492,111,1978,really,False
1493,111,1985,enjoyed,False
1495,111,1998,cant,False
1496,111,2003,take,False
1498,111,2013,last,False
1499,111,2018,guy,False
1500,111,2022,brother,False
1503,111,2040,seriously,False
1504,111,2050,since,False
1505,111,2056,hes,False
1508,111,2067,picky,False
1509,111,2073,eater,False
1511,111,2084,desserts,False
1514,111,2102,good,False
1515,111,2107,however,False
1517,111,2119,fudge,False
1518,111,690,ice,False
1519,111,2129,cream,False
1521,111,2138,really,False
1522,111,2145,just,False
1523,111,2150,chocolate,False
1524,111,2125,ice,False
1525,111,2164,cream,False
1526,111,2170,nothing,False
1527,111,2178,special,False
1529,111,1188,lemon,False
1530,111,2197,curd,False
1531,111,2202,tasted,False
1532,111,2209,like,False
1533,111,2191,lemon,False
1534,111,2220,pie,False
1535,111,2224,filling,False
1538,111,2240,delicious,False
1541,111,2258,bread,False
1542,111,2264,pudding,False
1544,111,2276,heavenly,False
1545,111,2285,seriously,False
1549,111,2305,good,False
1551,111,2313,think,False
1552,111,2319,everyone,False
1553,111,2328,left,False
1554,111,2333,feeling,False
1555,111,2341,really,False
1556,111,2348,satisfied,False
1559,111,2366,take,False
1561,111,2373,long,False
1562,111,2378,time,False
1564,111,2386,get,False
1566,111,2394,food,False
1568,111,2405,wasnt,False
1570,111,69,problem,False
1572,111,336,us,False
1573,111,2428,since,False
1578,111,2451,converse,False
1581,111,2466,understand,False
1583,111,2482,great,False
1584,111,2488,food,False
1585,111,2493,may,False
1586,111,2497,take,False
1588,111,2507,time,False
1593,111,2527,really,False
1594,111,2534,hungry,False
1596,111,2544,looking,False
1599,111,2558,quicker,False
1600,111,2566,meal,False
1602,111,2576,isnt,False
1604,111,1006,right,False
1605,111,2591,choice,False
1606,111,2598,basically,False
1608,111,2611,lost,False
1610,111,2619,star,False
1614,111,2639,lost,False
1615,111,896,reservation,False
1617,111,2660,lack,False
1619,111,2668,visibility,False
1622,111,2688,street,False
1623,111,2696,also,False
1625,111,2704,werent,False
1626,111,2711,thrilled,False
1629,111,2729,washrooms,False
1630,111,2740,besides,False
1632,111,2752,fact,False
1636,111,2771,coed,False
1640,111,2787,little,False
1641,111,2794,weird,False
1644,111,1682,one,False
1645,111,2813,large,False
1646,111,2819,sink,False
1649,111,2830,foot,False
1650,111,2835,peddle,False
1652,111,2845,operate,False
1654,111,2857,since,False
1656,111,1797,one,False
1657,111,2872,person,False
1658,111,751,can,False
1659,111,2883,step,False
1664,111,2899,time,False
1668,111,2916,wait,False
1671,111,2930,person,False
1673,111,2940,finish,False
1676,111,1998,can,False
1677,111,326,wash,False
1679,111,2972,hands,False
1681,111,2984,starts,False
1683,111,1418,cause,False
1685,111,3002,bit,False
1688,111,3011,backup,False
1692,111,3031,two,False
1693,111,3035,people,False
1697,111,2729,washroom,False
1698,111,3063,also,False
1700,111,2972,hand,False
1701,111,3077,dryers,False
1703,111,3089,weak,False
1705,111,3098,working,False
1707,111,3112,said,False
1709,111,3119,wouldnt,False
1710,111,3127,let,False
1712,111,3133,slightly,False
1713,111,3142,annoying,False
1714,111,3151,bathroom,False
1715,111,3160,stop,False
1718,111,3173,coming,False
1723,111,3195,nice,False
1724,111,3200,little,False
1725,111,3207,place,False
1727,112,2,couple,False
1729,112,12,weeks,False
1730,112,18,ago,False
1733,112,28,watching,False
1734,112,37,diners,False
1735,112,44,driveins,False
1737,112,57,dives,False
1738,112,65,big,False
1739,112,69,mistake,False
1741,112,82,show,False
1744,112,92,heart,False
1745,112,98,attack,False
1748,112,112,making,False
1750,112,122,also,False
1751,112,127,gives,False
1753,112,137,cravings,False
1754,112,148,often,False
1756,112,158,food,False
1758,112,167,cant,False
1759,112,172,possibly,False
1760,112,181,get,False
1762,112,193,theyre,False
1763,112,200,making,False
1765,112,212,crazy,False
1766,112,218,thing,False
1767,112,224,across,False
1769,112,235,country,False
1773,112,259,possibly,False
1774,112,268,find,False
1776,112,275,duplicate,False
1778,112,290,naturally,False
1780,112,302,got,False
1782,112,308,crazy,False
1783,112,137,craving,False
1785,112,326,fish,True
1787,112,335,chips,True
1791,112,351,lot,False
1793,112,358,looking,False
1794,112,366,around,False
1797,112,382,found,False
1799,112,393,place,False
1801,112,405,wasnt,False
1803,112,415,far,False
1804,112,419,away,False
1808,112,437,importantly,False
1809,112,449,open,False
1813,112,464,quirky,False
1814,112,471,place,False
1816,112,482,wood,False
1817,112,487,panelling,False
1820,112,504,walls,False
1823,112,519,random,False
1824,112,526,fish,True
1825,112,531,hung,False
1826,112,536,around,False
1828,112,547,place,False
1830,112,556,came,False
1833,112,569,fcs,False
1834,112,573,though,False
1836,112,583,ordered,False
1838,112,595,single,False
1839,112,602,piece,False
1844,112,628,enough,False
1845,112,635,food,False
1846,112,641,quite,False
1847,112,647,expensive,False
1848,112,657,though,False
1849,112,665,youre,False
1850,112,671,looking,False
1852,112,682,around,False
1853,112,690,meal,False
1855,112,698,one,False
1856,112,702,large,False
1857,112,708,piece,False
1859,112,717,fish,True
1862,112,731,fries,True
1865,112,744,good,False
1868,112,756,wasnt,False
1869,112,762,great,False
1870,112,769,worst,False
1874,112,786,tartar,False
1875,112,793,sauce,False
1876,112,799,came,False
1878,112,807,sealed,False
1879,112,814,packages,False
1880,112,576,ugh,False
1881,112,830,service,False
1883,112,842,fine,False
1885,112,851,complaints,False
1887,112,867,waitress,False
1890,112,884,job,False
1891,112,890,took,False
1893,112,583,order,False
1894,112,905,gave,False
1895,112,189,us,False
1897,112,917,food,False
1899,112,926,gave,False
1900,112,910,us,False
1902,112,938,bill,False
1906,112,959,job,False
1914,112,990,less,False
1916,112,999,restaurant,False
1917,112,1010,ambiance,False
1918,112,1019,wasnt,False
1921,112,1035,food,False
1922,112,1040,wasnt,False
1923,112,1046,special,False
1926,112,1062,prices,False
1927,112,1069,werent,False
1928,112,1076,good,False
1930,114,3,ended,False
1934,114,25,moroco,False
1936,114,36,rented,False
1939,114,53,entire,False
1940,114,60,restaurant,False
1943,114,77,party,False
1946,114,90,wanted,False
1948,114,99,decadent,False
1949,114,108,dessert,False
1951,114,120,went,False
1954,114,132,looked,False
1957,114,146,selection,False
1959,114,160,decided,False
1962,114,176,wanted,False
1966,114,196,person,False
1967,114,203,behind,False
1969,114,214,counter,False
1970,114,222,asked,False
1972,114,231,take,False
1974,114,240,order,False
1977,114,253,said,False
1979,114,261,wanted,False
1981,114,271,sit,False
1984,114,284,wouldnt,False
1985,114,292,take,False
1987,114,301,order,False
1989,114,311,instead,False
1991,114,21,us,False
1992,114,326,sit,False
1995,114,132,look,False
1997,114,347,menus,False
1999,114,357,explained,False
2001,114,370,knew,False
2004,114,383,wanted,False
2005,114,390,already,False
2008,114,405,said,False
2009,114,410,hed,False
2011,114,417,back,False
2014,114,427,minute,False
2017,114,444,fine,False
2019,114,452,werent,False
2022,114,464,rush,False
2028,114,488,little,False
2029,114,495,confused,False
2032,114,511,ten,False
2033,114,515,minutes,False
2035,114,526,sat,False
2037,114,536,waiting,False
2042,114,561,finally,False
2043,114,569,came,False
2048,114,589,ordering,False
2050,114,602,cell,False
2051,114,607,phone,False
2052,114,613,rang,False
2055,114,625,took,False
2057,114,634,call,False
2059,114,643,walked,False
2060,114,650,away,False
2061,114,655,around,False
2063,114,666,corner,False
2066,114,680,building,False
2068,114,693,waited,False
2071,114,710,five,False
2072,114,715,minutes,False
2076,114,734,finish,False
2078,114,745,call,False
2081,114,757,finally,False
2082,114,765,took,False
2084,114,589,order,False
2085,114,781,umm,False
2089,114,801,pretty,False
2090,114,808,shocking,False
2091,114,817,unprofessionalism,False
2094,114,842,laughed,False
2098,114,861,ordered,False
2100,114,872,ordered,False
2101,114,880,basic,False
2102,114,371,new,False
2103,114,890,york,False
2104,114,895,cheesecake,True
2107,114,913,friend,False
2108,114,920,ordered,False
2110,114,931,apple,False
2111,114,937,cheesecake,True
2112,114,949,cheesecakes,True
2114,114,966,good,False
2116,114,975,really,False
2117,114,982,liked,False
2121,114,999,ordered,False
2122,114,1007,cappuccino,True
2123,114,1018,knowing,False
2125,114,1029,wasnt,False
2126,114,1035,fresh,False
2127,114,1041,sort,False
2129,114,1049,took,False
2130,114,1054,away,False
2133,114,1068,experience,False
2134,114,1080,anyway,False
2138,114,1096,fine,False
2139,114,1101,time,False
2143,114,1119,desserts,False
2145,114,1132,good,False
2148,114,1145,great,False
2152,114,1163,service,False
2156,114,1185,disappointing,False
2157,114,1200,will,False
2159,114,966,go,False
2160,114,1210,back,False
2161,114,1215,yes,False
2163,114,1222,moroco,False
2165,114,1232,closed,False
2167,116,0,poor,False
2168,116,5,hero,False
2169,116,10,burger,True
2171,116,20,getting,False
2173,116,30,lot,False
2175,116,37,flack,False
2177,116,48,people,False
2178,116,56,ive,False
2179,116,60,never,False
2181,116,70,anything,False
2183,116,83,good,False
2184,116,88,experiences,False
2187,116,108,think,False
2189,116,118,burgers,True
2192,116,135,heads,False
2194,116,145,tails,False
2196,116,157,many,False
2198,116,168,gourmet,False
2199,116,118,burger,True
2200,116,183,places,False
2201,116,190,mainly,False
2204,116,209,diversity,False
2206,116,222,toppings,False
2208,116,234,like,False
2210,116,243,fries,True
2213,116,258,theyre,False
2214,116,265,nothing,False
2215,116,273,special,False
2219,116,296,poutine,True
2223,116,318,onion,False
2224,116,324,rings,False
2225,116,210,ive,False
2226,116,334,tried,False
2227,116,340,em,False
2231,116,358,burgers,True
2233,116,370,good,False
2235,116,378,word,False
2238,116,388,liei,False
2239,116,393,think,False
2241,116,403,prices,False
2243,116,414,pretty,False
2244,116,421,standard,False
2247,116,440,types,False
2249,116,176,burger,True
2250,116,456,places,False
2252,116,467,service,False
2254,116,479,always,False
2256,116,491,fine,False
2262,116,515,great,False
2263,116,521,coke,True
2264,116,526,machine,False
2267,116,544,know,False
2268,116,549,sounds,False
2269,116,556,super,False
2270,116,562,weird,False
2273,116,576,choose,False
2275,116,588,drink,False
2278,116,605,can,False
2279,116,609,choose,False
2281,116,620,flavour,False
2283,116,633,example,False
2286,116,648,want,False
2287,116,653,fanta,True
2289,116,661,select,False
2292,116,677,can,False
2294,116,686,choose,False
2296,116,697,number,False
2298,116,707,fanta,True
2299,116,713,flavours,False
2301,116,725,always,False
