ID,Name,Author,Publisher,Publishing_Date,Format,Pages,Rating
74,a walk in wolf wood: a tale of fantasy and magic,Mary  Stewart,William Morrow & Company,1984-04-01,Hardcover,148.0,3.78
75,adventures of an ice princess,Liz Maverick,NAL Trade,2004-10-05,Paperback,272.0,2.55
76,"wrapped up in lies (the adventures of ms. fortune, #1)",Jess Erin,Createspace Independent Publishing Platform,2015-11-21,Paperback,326.0,4.14
77,gangsterland (ink portal adventure #1),Ansha Kotyk,Busstop Press,2012-11-15,Paperback,175.0,4.19
78,powerhouse: hard pressed,Adam Graham,Create Space,2013-06-01,Paperback,226.0,4.14
79,trial of the clone: an interactive adventure!,Zach Weinersmith,Breadpig,2012-10-09,Paperback,282.0,3.48
80,adventures in the rocky mountains,Isabella L. Bird,Penguin Books,2007-09-25,Paperback,128.0,3.82
81,"tent life in siberia: an incredible account of siberian adventure, travel, and survival",George Kennan,Skyhorse Publishing,2007-03-17,Paperback,448.0,4.1
82,forgotten realms: adventures,Jeff Grubb,TSR,1990-04-01,Hardcover,210.0,3.83
83,my milk toof: the adventures of ickle and lardee,Inhae Lee,Chronicle Books,2011-03-23,Hardcover,176.0,4.42
84,"star wars: clone wars adventures, vol. 1",W. Haden Blackman,Dark Horse Books,2004-07-20,Paperback,96.0,3.75
85,the adventures of john carson in several quarters of the world: a novel of robert louis stevenson,Brian  Doyle,Thomas Dunne Books,2017-03-28,Hardcover,229.0,3.93
86,tom gates 13: epic adventure (kind of),Liz Pichon,Scholastic Fiction,2017-10-05,Kindle Edition,256.0,4.65
87,amish adventure,Barbara Smucker,Puffin,1984-08-07,Paperback,,3.48
88,and the winner is (the adventures of marty peters),Erin Brady,,,,,3.56
89,mongo: adventures in trash,Ted Botha,Bloomsbury USA,2005-06-06,Paperback,256.0,3.86
90,the privateer's revenge,Julian Stockwin,McBooks Press,2008-10-01,Hardcover,324.0,4.1
91,the further adventures of sherlock holmes: the web weaver,Sam Siciliano,Titan Books,2012-01-10,Paperback,394.0,3.74
94,draw more furries: how to create anthropomorphic fantasy animals,Jared Hodges,Impact,2012-11-23,Paperback,127.0,4.42
95,menagerie: stories of passion and dark fantasy,Kyle Stone,Baskerville Books,2000-08-01,Paperback,168.0,3.25
96,"zombies: fantasy art, fiction & the movies",Russ Thorne,Flame Tree Publishing,2013-11-15,Hardcover,128.0,3.83
98,the making of final fantasy: the spirits within,Steven L. Kent,Brady Games,2001-08-02,Hardcover,240.0,3.93
99,jan messent's knit a fantasy story,Jan Messent,Search Press,2006-08-01,Paperback,96.0,3.75
100,beyond the pillars: an anthology of pagan fantasy,Ashley Horn,Bibliotheca Alexandrina,2013-10-02,Kindle Edition,320.0,4.33
101,suite revenge (suite fantasy),Janice Maynard,Cool Gus Publishing,2013-11-23,Kindle Edition,89.0,3.5
102,horses and farms for fantasy writers,Horace Ponii,Smashwords,2012-06-18,ebook,,5.0
103,facets of fantasy: a collection,Sarah Scheele,CreateSpace,2016-02-05,,360.0,4.36
105,flower fashion fantasies,Ming-Ju Sun,Dover Publications,2012-11-21,Paperback,64.0,3.94
106,japanese tales from times past: stories of fantasy and folklore from the konjaku monogatari shu,Anonymous,Tuttle Publishing,2015-08-04,Paperback,288.0,4.1
107,fruzzle's mystery talent: a bed time fantasy story for children ages 3-10,Karen Brueggeman,Dolphins Publishing and Karen Brueggeman,2013-11-18,Kindle Edition,48.0,4.49
108,cosmic knights: isaac asimov's magical worlds of fantasy 3,Isaac Asimov,Signet,1985-01-01,Mass Market Paperback,339.0,3.55
109,sharn: city of towers,Keith Baker,Wizards of the Coast,2004-11-12,Hardcover,192.0,3.88
110,hell beasts: how to draw grotesque fantasy creatures,Jim Pavelec,Impact,2007-07-06,Paperback,128.0,3.64
111,sweet tales: the adventures of miss jade & britt the kit,Laurie Hyman,Red Sky Presents,2014-12-01,Paperback,77.0,4.33
112,lost city: a novel from the numa files,Clive Cussler,Paragon,,Paperback,658.0,3.88
113,"hotel california: the true-life adventures of crosby, stills, nash, young, mitchell, taylor, browne, ronstadt, geffen, the eagles, and their many friends",Barney Hoskyns,Wiley (TP),2006-06-01,Paperback,324.0,3.8
114,bedlam,Laura Joh Rowland,The Overlook Press,2010-05-13,Hardcover,352.0,3.27
115,the complete adventures of sherlock holmes,Arthur Conan Doyle,In Audio,2005-09-01,Audio CD,9.0,4.38
116,the adventure of the three gables,Arthur Conan Doyle,DH Audio,1998-07-01,Audio Cassette,0.0,3.42
117,redstone,C.E.  Johnson,Clan Publishing,2016-05-06,Kindle Edition,,4.57
118,getting high: the adventures of oasis,Paolo Hewitt,Hyperion,1997-04-01,Paperback,416.0,4.06
119,"the return of tarzan: the adventures of lord greystoke, book two",Edgar Rice Burroughs,Fall River,2011-10-04,Paperback,288.0,3.8
120,the wolf hunters (a tale of adventure in the wilderness),James Oliver Curwood,IndyPublish.com,,Hardcover,,4.04
121,edgar rice burroughs : master of adventure,Richard A. Lupoff,Ace Books,1975-01-01,Paperback,317.0,4.02
122,the adventure of the six napoleons and other cases,Arthur Conan Doyle,Penguin Classics,2014-09-04,Paperback,368.0,4.04
123,sherlock holmes: cthulhu mythos adventures,Ralph E. Vaughan,Dog in the Night Books,2015-08-01,Paperback,260.0,3.97
124,road trip: five adventures you're meant to live,Jen Hatmaker,NavPress,2006-07-12,Paperback,192.0,4.01
125,the further adventures of sherlock holmes - the counterfeit detective,Stuart Douglas,Titan Books,2016-10-18,Paperback,272.0,3.98
126,the adventures of myhr,P.N. Elrod,Baen Books,2003-05-20,Mass Market Paperback,385.0,3.55
127,khartoum: the ultimate imperial adventure,Michael Asher,Penguin,2006-11-02,Paperback,512.0,4.28
128,captain blackwell's prize,V.E. Ulett,Old Salt Press,2013-08-16,Paperback,272.0,3.91
129,owl and the electric samurai,Kristi Charish,Simon & Schuster,2017-05-08,ebook,416.0,3.95
130,"the green flash and other tales of horror, suspense, and fantasy",Joan Aiken,"Holt, Rinehart, and Winston",1971-01-01,Hardcover,163.0,3.65
131,the magazine of fantasy and science fiction: a 30-year retrospective,Edward L. Ferman,Doubleday Books,1980-01-01,Hardcover,310.0,3.78
133,rose's fantasy,Rosie Attwood,Clean Christian Western Romance,2016-02-05,Kindle Edition,,4.15
134,fantasy inc,Carl East,,,Kindle Edition,82.0,2.6
135,forbidden fantasies,MFR,,,Paperback,84.0,3.75
136,fantasy man,Aaron Michaels,Torquere Books,2010-08-01,ebook,21.0,3.33
137,teacher fantasy,Esmeralda Greene,,,Kindle Edition,,3.0
138,magic unbound,Jill Nojack,IndieHeart Press,2017-11-03,Kindle Edition,127.0,3.74
139,lost in another realm,"SFX, Fantasy",Lulu.com,2006-09-13,Paperback,104.0,2.5
140,the dark warriors,"SFX, Fantasy",Lulu.com,2006-11-27,Paperback,120.0,2.5
141,in the blood: a richly dark high fantasy series book # 1,R.L. Martinez,Lakewater Press,2016-03-21,Kindle Edition,374.0,4.28
142,dusk: a dark fantasy novel,Tim Lebbon,Dreaming in Fire,2017-08-17,Kindle Edition,492.0,3.48
143,warhammer fantasy roleplay: the creature guide,Fantasy Flight Games,Fantasy Flight Games,2011-01-25,Hardcover,112.0,3.86
144,rogue trader: the koronus bestiary,Fantasy Flight Games,Fantasy Flight Games,2013-01-08,Hardcover,144.0,3.88
145,dragonstar: imperial supply,Fantasy Flight Games,Fantasy Flight Games,2003-01-28,Paperback,128.0,3.36
146,halfling: a young adult romantic fantasy,Karin Shah,Soul Mate publishing,2015-04-15,Kindle Edition,282.0,4.18
147,white christmas (a christmas fantasy novella),Rebecca York,Light Street Press,2016-12-01,Kindle Edition,86.0,3.76
148,fantasy: the golden age of fantastic illustration,Brigid Peppin,Watson-Guptill,1975-01-01,Hardcover,191.0,4.45
149,rush revere and the star-spangled banner,Rush Limbaugh,Threshold Editions,2015-10-27,Kindle Edition,240.0,4.37
150,ladies of the field: early women archaeologists and their search for adventure,Amanda Adams,Greystone Books,2010-08-23,Paperback,240.0,3.7
151,pirate dave and his randy adventures,Robyn Peterman,Smashwords,2013-05-22,ebook,100.0,3.44
152,"sherlock holmes: the ultimate collection: the adventures of sherlock holmes, memoirs of sherlock holmes, the return of sherlock holmes, and more!",Arthur Conan Doyle,,,Kindle Edition,900.0,4.51
153,scribblenauts unmasked: a dc comics adventure,Josh Elder,DC Comics,2015-02-17,Paperback,208.0,3.89
154,sherlock holmes and the adventure of the cold-served revenge,Petr Macek,MX Publishing,2014-09-17,Paperback,232.0,3.22
155,lost on the amazon,R.A. Montgomery,Chooseco,2006-08-01,Paperback,114.0,3.48
156,the escape,Cavan Scott,Egmont Books Ltd,2016-02-25,Paperback,96.0,3.31
157,the desert and the sown: the syrian adventures of the female lawrence of arabia,Gertrude Bell,Cooper Square Publishers,2001-11-13,Paperback,368.0,4.03
158,"star trek: the new voyages, 2",Sondra Marshak,Bantam,1978-01-01,Mass Market Paperback,252.0,3.47
159,who killed harlowe thrombey?,Edward Packard,Grey Castle Press,1981-01-01,Hardcover,122.0,3.73
160,james to the rescue,Elise Broach,Henry Holt and Co. (BYR),2015-10-20,Hardcover,112.0,3.85
161,"diane: a signature life: my adventures in fashion, business, and life",Diane Von Furstenberg,Simon & Schuster,1998-11-04,Hardcover,237.0,3.72
162,the secret lives of bats: my adventures with the world's most misunderstood mammals,Merlin Tuttle,Houghton Mifflin Harcourt,2015-10-20,Hardcover,288.0,4.33
163,the adventures of wesley jackson,William Saroyan,,,,,4.29
164,adventures of a church historian,Leonard J. Arrington,University of Illinois Press,1998-05-01,Hardcover,272.0,4.17
165,johnny's heroic adventure,C.S. Crook,CreateSpace,2014-08-02,Paperback,64.0,3.5
166,"birdology: adventures with a pack of hens, a peck of pigeons, cantankerous crows, fierce falcons, hip hop parrots, baby hummingbirds, and one murderously big living dinosaur",Sy Montgomery,Atria Books,2010-04-06,Hardcover,260.0,4.11
167,substrata: open world dark fantasy,Paul Richards,Udon Entertainment,2014-07-29,Paperback,239.0,4.75
168,"drawing mentor 14, fantasy drawing",Sarah Bowles,Amazon Digital Services,2012-01-01,Kindle Edition,54.0,3.58
169,allansia,Marc Gascoigne,Puffin Books,1994-07-07,Paperback,336.0,3.62
170,other voices: an urban fantasy anthology,Diamant,Diamant,2013-07-19,Kindle Edition,220.0,4.0
171,forbidden flowers: more women's sexual fantasies,Nancy Friday,Pocket Books,1991-02-01,Mass Market Paperback,336.0,3.66
172,night of the necromancer,Jonathan Green,Wizard Books,2010-03-01,Paperback,383.0,3.54
173,mona loves monsters: a halloween gangbang (the rape fantasies),Cherry Allen,,,Kindle Edition,14.0,3.64
174,don't dream: the collected horror and fantasy fiction of donald wandrei,Donald Wandrei,Fedogan & Bremer,1997-08-01,Hardcover,394.0,3.33
175,from impressionism to anime: japan as fantasy and fan cult in the mind of the west,Susan J. Napier,Palgrave Macmillan,2007-12-15,Paperback,272.0,3.92
176,the dunwich horror (fantasy and horror classics),H.P. Lovecraft,Fantasy and Horror Classics,2016-03-30,ebook,74.0,3.84
177,"fantasy magazine, august 2011",John Joseph Adams,,,Kindle Edition,,3.44
178,"best friends, fantasy lovers",Dicey Grenor,,,Kindle Edition,197.0,4.33
179,vintage anthology of science fantasy,Christopher Cerf,Random House Trade,1966-02-01,Paperback,0.0,4.06
180,tales of fantasy and fact,Brander Matthews,,,Kindle Edition,95.0,3.22
181,her menage fantasies,Rachel S. William,,,Kindle Edition,140.0,3.29
182,the fantasy literature of england,Colin Manlove,Palgrave Macmillan,1999-07-30,Hardcover,230.0,3.5
183,digital fantasy painting,Michael Burns,Watson-Guptill,2002-10-01,Paperback,160.0,3.88
184,submissive wife: rape fantasy,Mal Sanders,Amazon Digital Services,2012-05-19,Kindle Edition,33.0,3.25
185,knights of madness: further comic tales of fantasy,Peter Haining,Souvenir Press,1998-08-27,Paperback,252.0,3.71
186,coconuts and wonderbras: a romantic comedy adventure,Lynda Renham,Raucous Publishing,2012-06-27,Kindle Edition,272.0,3.95
187,what if?,Jeffrey M. Daniels,Booklocker.com,2010-10-20,Paperback,260.0,3.88
188,"lad a dog, further adventures of lad, buff: a collie and other dog stories, bruce his dog, black caesar's clan: 6 dog-novels",Albert Payson Terhune,Business and Leadership Publishing,2015-05-20,Kindle Edition,,4.24
189,"captain underpants and the big, bad battle of the bionic booger boy part 2: the revenge of the ridiculous robo-boogers: the adventures of bionic booger boy: night of the nasty nostril nuggets part 2",Dav Pilkey,Scholastic Paperbacks,2013-05-28,Kindle Edition,175.0,4.18
190,the adventures of precious penny,Dina Marie Filippini,Createspace Independent Publishing Platform,2015-02-08,Paperback,36.0,4.75
191,paris!,Giada De Laurentiis,Grosset & Dunlap,2013-09-03,Paperback,144.0,4.05
192,liri an adventure toward freedom,Karl Dickey,Blue Shark Media,2014-08-06,Paperback,260.0,3.0
193,the trip: andy warhol's plastic fantastic cross-country adventure,Deborah   Davis,Atria Books,2015-07-28,Hardcover,336.0,3.76
194,the kraken king and the greatest adventure,Meljean Brook,InterMix,2014-06-03,Kindle Edition,70.0,4.48
195,the water babies (classic adventures),Charles Kingsley,,,,,3.37
196,five go off to camp,Enid Blyton,Chivers Audio Books,1999-07-01,Audio Cassette,0.0,3.92
197,ant egg soup: the adventures of a food tourist in laos,Natacha Du Pont de Bie,Hodder & Stoughton,2005-02-01,Paperback,342.0,3.86
198,a proper family adventure,Chrissie Manby,Hodder,2015-07-16,Paperback,384.0,4.2
199,equal shmequal,Virginia L. Kroll,Charlesbridge Pub Inc,2005-06-01,Paperback,32.0,3.92
200,shark lady: true adventures of eugenie clark,Ann McGovern,Scholastic Paperbacks,1995-05-01,Paperback,96.0,4.04
201,three adventures of sherlock holmes,David Maule,Pearson Education,2008-10-03,Paperback,67.0,3.76
202,the adventures of penrose the mathematical cat,Theoni Pappas,Wide World Publishing,1997-10-24,Paperback,132.0,4.04
203,the adventures of a cello,Carlos Prieto,University of Texas Press,2006-10-01,Hardcover,368.0,3.47
204,"the defenders by philip k. dick, science fiction, fantasy, adventure",Philip K. Dick,Aegypan,2011-05-01,Paperback,40.0,3.68
205,haunting women: stories of fear and fantasy by women writers,Alan Ryan,Avon Books,,Mass Market Paperback,210.0,4.0
206,ray bradbury: master of science fiction and fantasy,Wendy Mass,Enslow Publishers,2004-04-01,Hardcover,104.0,4.06
207,final fantasy xii limited edition guide,Wes Erhlichman,Bradygames,2006-10-04,Leather Bound,176.0,4.03
208,the empty sleeve (fantasy and horror classics),Algernon Blackwood,Fantasy and Horror Classics,2011-04-28,Paperback,24.0,3.81
209,forcing corinne,Rachel Nixx,Rachel Nixx,2012-11-24,ebook,25.0,3.15
210,the illusionless man: fantasies and meditations on disillusionment,Allen Wheelis,Other Press (NY),2000-01-17,Paperback,206.0,4.44
211,"the best fantasy stories of the year, 1989",Orson Scott Card,Dercum Audio,1991-06-01,Audio Cassette,,3.67
212,unplugged: the web's best sci-fi & fantasy: 2008 download,Rich Horton,Wyrm Publishing,2009-12-23,Paperback,295.0,3.66
213,the horror in the museum,Hazel Heald,Fantasy and Horror Classics,2011-04-28,Paperback,38.0,3.97
214,"agatha heterodyne & the clockwork princess: a gaslamp fantasy with adventure, romance & mad science",Phil Foglio,Airship Entertainment,,Hardcover,109.0,4.41
215,"fantasies: volume 2 (fantasies, #2)",Thomas Hunter Dillon,,,,,0.0
216,"the crystal crypt by philip k. dick, science fiction, fantasy",Philip K. Dick,Aegypan,2011-10-05,Paperback,34.0,3.52
217,"fantasy & science fiction, july/august 2011",Gordon Van Gelder,Spilogale,2011-07-01,Paperback,258.0,3.53
218,"fantasy & science fiction, march/april 2013",Gordon Van Gelder,"Spilogale, Inc.",2013-03-01,Paperback,258.0,3.38
219,a barrel of whiskey -,S.M. Blooding,Whistling Book Press,2016-08-22,Kindle Edition,398.0,4.33
220,evil origins: a horror & dark fantasy collection,J. Thorn,,,Kindle Edition,897.0,3.6
221,web of the witch world,Andre Norton,Tandem,1970-12-16,Paperback,192.0,3.85
222,"the glass wall, book one",Madison Adler,Bento Box Books,2011-09-06,Nook,0.0,3.58
223,the adventures of happy jack,Thornton W. Burgess,Dover Publications,2004-06-28,Paperback,128.0,4.12
224,the adventures of whatley tupper,Rudolf Kerkhoven,Bowness Books,,Kindle Edition,424.0,2.9
225,asterix and cleopatra,René Goscinny,Dargaud Publishing International,1995-05-01,Paperback,,4.29
226,casual lies-a triple crown adventure,Shelley Lee Riley,self published,2013-04-01,Paperback,264.0,4.36
227,saving crafter: herobrine reborn book one: a gameknight999 adventure: an unofficial minecrafter's adventure,Mark Cheverton,Sky Pony Press,2015-09-01,Kindle Edition,304.0,4.52
228,the mighty mars rovers: the incredible adventures of spirit and opportunity,Elizabeth Rusch,HMH Books for Young Readers,2012-06-19,Hardcover,80.0,4.2
229,a trip around the sun: turning your everyday life into the adventure of a lifetime,Mark Batterson,Baker Books,2015-05-05,Paperback,208.0,4.02
230,blood and bone,Don Hoesel,Bethany House Publishers,2013-07-01,Paperback,352.0,4.12
231,my adventures with god,Stephen Tobolowsky,Simon Schuster,2017-04-18,Hardcover,368.0,4.25
232,famous science-fiction stories: adventures in time and space,Raymond J. Healy,Modern Library/Random House Inc. (NY),1957-06-01,Hardcover,997.0,4.22
233,nomad codes: adventures in modern esoterica,Erik Davis,Yeti Publishing,2010-12-01,Paperback,352.0,3.98
234,"into the storm: violent tornadoes, killer hurricanes, and death-defying adventures in extreme weather",Reed Timmer,New American Library,2010-10-01,ebook,288.0,3.88
235,the adventures of tintin in the congo,Hergé,Last Gasp,2002-11-28,Hardcover,120.0,3.24
236,welcome to the departure lounge: adventures in mothering mother,Meg Federico,Doubleday Canada,2009-02-10,Hardcover,208.0,3.71
237,freezing people is (not) easy: my adventures in cryonics,Bob  Nelson,Lyons Press,2014-03-18,Hardcover,256.0,3.21
238,the adventures of blue avenger,Norma Howe,HarperTeen,2000-08-08,Paperback,240.0,3.7
239,triplanetary: a tale of cosmic adventure,"E.E. ""Doc"" Smith",,,Kindle Edition,,3.65
240,"ghosts of the trianon: the complete ""an adventure""",C.A.E. Moberly,,,,,3.55
241,octopussy: the last great adventures of james bond 007,Ian Fleming,Signet,1967-07-01,Paperback,126.0,3.54
242,the success fantasy,Anthony Campolo Jr.,,,,144.0,4.4
243,fantasy origami,Duy Nguyen,Sterling,2002-08-01,Paperback,96.0,2.0
244,freaks and fantasies,Tod Robbins,Ramble House,2008-03-07,Paperback,256.0,4.0
245,flights of fantasy,Michael J. Hayde,BearManor Media,2009-05-14,Paperback,536.0,4.25
246,erotic fantasy: tales of the paranormal,Justus Roux,Erotictales Publications,2004-03-29,Paperback,432.0,3.33
247,"fantasy magazine, september 2011",John Joseph Adams,,,Kindle Edition,,2.89
248,war crimes & imperial fantasies,Noam Chomsky,ALLEGRO CORPORATION,2004-09-30,Audio CD,,3.93
249,walt disney's world of fantasy,Adrian Bailey,Book Sales,1984-08-01,Hardcover,252.0,4.36
250,bill gibb: fashion and fantasy,Iain Webb,Victoria & Albert Museum,2008-10-01,Hardcover,144.0,3.88
251,"phaze fantasies, vol. vi",Yvette Hines,Mundania Press LLC,2008-08-01,Paperback,344.0,4.09
252,novel ideas-fantasy,Brian M. Thomsen,DAW,2006-03-07,Paperback,320.0,3.18
253,"the postman (kitten's fantasies, #1)",Bonnie Bliss,Irish Wolf Publishing,2012-06-11,ebook,,3.56
254,teaching teresa,Nadia Nightside,Nadia Nightside,2014-02-13,Kindle Edition,31.0,3.21
255,siddella's submission: an erotic bdsm fantasy,Sascha Illyvich,,,Kindle Edition,,4.1
256,a good thing,Ria Candro,Siren Publishing,2012-11-01,ebook,,3.79
