_id,ltable_ID,rtable_ID,ltable_Name,ltable_Author,ltable_Publisher,ltable_Format,ltable_Pages,ltable_Rating,rtable_Name,rtable_Author,rtable_Publisher,rtable_Format,rtable_Pages,rtable_Rating,match
31,3024,419,Sharpe's Havoc (The Sharpe Series),Bernard Cornwell,Harper,Hardcover,368.0,4.5,"Sharpe's Fortress : Richard Sharpe & the Siege of Gawilghur, December 1803",Bernard Cornwell,HarperCollins,Mass Market Paperback,,4.12,0
133,251,1197,The Ultimate Guide to Sexual Fantasy: How to Turn Your Fantasies into Reality,Violet Blue,Cleis Press,Hardcover,250.0,4.3,Lips Like Sugar: Women's Erotic Fantasies,Violet Blue,Cleis Press,Paperback,200.0,3.32,0
1178,404,2349,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,Fire and Fantasy,C.K. Dawn,Carter & Bradley Publishing,Kindle Edition,3664.0,4.24,0
351,852,2774,The Year's Best Fantasy and Horror: Eighteenth Annual Collection (Year's Best Fantasy & Horror (Paperback)),Ellen Datlow,St. Martin's Griffin,Kindle,608.0,3.8,The Year's Best Fantasy and Horror: Third Annual Collection,Ellen Datlow,St. Martin's Griffin,Paperback,568.0,4.12,0
292,2779,2500,"Sword in the Storm (The Rigante Series, Book 1)",David Gemmell,Del Rey,Hardcover,439.0,4.3,"L'Épée de l'Orage: Rigante, T1 (Fantasy)",David Gemmell,Bragelonne,Kindle Edition,377.0,4.24,0
225,2795,1973,Hope and Red (The Empire of Storms),Jon Skovron,Orbit,Hardcover,544.0,4.2,"Hope & Red: L'Empire des tempêtes, T1",Jon Skovron,Bragelonne,Kindle Edition,479.0,3.94,1
1080,404,1527,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,Bloodmark (The Kingsmen Chronicles #2): An Epic Fantasy Adventure,Jean Lowe Carlson,Jean Lowe Carlson,Kindle Edition,732.0,4.66,0
331,439,2659,Fighting Fantasy: House of Hell,Steve Jackson,Scholastic,Paperback,300.0,5.0,Titan: The Fighting Fantasy World,Steve   Jackson,Puffin Books,Paperback,,3.95,0
538,386,484,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,The Year's Best Fantasy Stories 8,Arthur W. Saha,DAW,Paperback,191.0,3.17,0
2442,1478,844,"Kiss Kiss, Bang Bang (Urban Books)",,Urban Books,Paperback,304.0,4.5,Chaos Rises: A Veil World Urban Fantasy,Pippa DaCosta,Createspace Independent Publishing Platform,Paperback,290.0,3.85,0
121,3129,1082,Puck of Pook's Hill,Rudyard Kipling,CreateSpace Independent Publishing Platform,Paperback,126.0,4.6,Puck of Pook's Hill. by Rudyard Kipling,Rudyard Kipling,Createspace Independent Publishing Platform,Paperback,108.0,3.89,1
924,404,503,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,The Masked Man: A Memoir and Fantasy of Hollywood,Tom Wilson,BookBaby,Kindle Edition,277.0,3.89,0
631,386,1074,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,Your Presidential Fantasy Dream Team,Daniel  O'Brien,Crown Books for Young Readers,Hardcover,272.0,4.07,0
1213,404,2697,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,Year's Best Fantasy 6,David G. Hartwell,Tachyon Publications,Paperback,355.0,3.68,0
147,1820,1331,Inspector Hobbes and the Bones: Cozy Mystery Comedy Crime Fantasy (unhuman) (Volume 4),Wilkie Martin,The Witcherley Book Company,Kindle,348.0,4.5,Inspector Hobbes and the Blood: Comedy Crime Fantasy,Wilkie Martin,Witcherley Book Company,Hardcover,,3.82,0
1221,404,2761,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,Azad: a Flight of Desi Fantasy,Sanjiv Behera,Rickshaw Books,Paperback,96.0,4.0,0
1705,1321,14,The Cartel 2: Tale of the Murda Mamas,,Urban Books,Hardcover,288.0,4.7,"The Feathered Serpent, Part 2",Chris Heimerdinger,,,,4.15,0
827,386,2622,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,Final Fantasy XII: Signature Series Guide,David Cassady,Brady Games,Paperback,352.0,4.2,0
309,13,2615,Grimgar of Fantasy and Ash (Light Novel) Vol. 1,Ao Jyumonji,Seven Seas,Paperback,280.0,4.3,Grimgar of Fantasy and Ash: Volume 3,Ao Jyumonji,J-Novel Club,Kindle Edition,280.0,4.26,0
1212,404,2696,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,"My Secretary, Her Fantasy",Eve Langlais,Cobblestone Press,ebook,,3.47,0
355,852,2800,The Year's Best Fantasy and Horror: Eighteenth Annual Collection (Year's Best Fantasy & Horror (Paperback)),Ellen Datlow,St. Martin's Griffin,Kindle,608.0,3.8,The Year's Best Fantasy First Annual Collection,Ellen Datlow,St. Martin's Griffin (NY),Paperback,527.0,4.06,0
519,386,325,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,Infernal Magic: An Urban Fantasy Novel,C.N. Crawford,Createspace Independent Publishing Platform,Paperback,308.0,4.05,0
922,404,481,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,"The Magazine of Fantasy & Science Fiction, Sept/Oct 2013",Gordon Van Gelder,"Spilogale, Inc.",Kindle Edition,,3.5,0
500,386,208,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,The Empty Sleeve (Fantasy and Horror Classics),Algernon Blackwood,Fantasy and Horror Classics,Paperback,24.0,3.81,0
118,611,1073,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,Paperback,432.0,4.2,"Fantasy & Science Fiction, January/February 2015",Gordon Van Gelder,"Spilogale, Inc.",Kindle Edition,,3.92,0
602,386,880,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,GURPS Fantasy: The Magical World of Yrth,Kirk Tate,Steve Jackson Games,Paperback,144.0,3.18,0
291,2637,2500,Stormrider (Rigante),David Gemmell,Del Rey,Kindle,512.0,4.2,"L'Épée de l'Orage: Rigante, T1 (Fantasy)",David Gemmell,Bragelonne,Kindle Edition,377.0,4.24,0
293,395,2501,"Male Fantasies, Vol. 1: Women, Floods, Bodies, History (Theory and History of Literature, Vol. 22) (Volume 1)",Klaus Theweleit,Univ Of Minnesota Press,Paperback,544.0,3.5,"Male Fantasies: Volume 1: Women, Floods, Bodies, History",Klaus Theweleit,Univ Of Minnesota Press,Paperback,544.0,4.19,1
79,337,728,Tarzan of the Apes (Penguin Classics),Edgar Rice Burroughs,Penguin Classics,Hardcover,320.0,4.3,The Resurrection of Jimber Jaw (Fantasy & Horror Classics),Edgar Rice Burroughs,,Kindle Edition,,3.51,0
542,386,505,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,The Haunted Chamber (Fantasy and Horror Classics),Ann Radcliffe,Fantasy and Horror Classics,Paperback,22.0,4.25,0
51,5,478,The Fantasy Baseball Black Book 2018 (Fantasy Black Book),Joe Pisapia,Independently published,Kindle,157.0,4.6,The Fantasy Baseball Black Book 2017 Edition (Fantasy Black Book 10),Joe Pisapia,,Kindle Edition,182.0,3.88,0
208,83,1871,The Fantasy Illustrator's Technique Book (Quarto Book),Gary A. Lippincott,Barron's Educational Series,Kindle,128.0,4.4,"The Fantasy Illustrator's Technique Book: From Creating Characters To Selling Your Work, Learn The Skills Of The Professional Fantasy Artist",Gary A. Lippincott,David & Charles Publishers,Paperback,128.0,4.13,0
128,967,1196,Dragon Rule: Book Five of the Age of Fire,E.E. Knight,Ace,Paperback,368.0,4.2,"Dragon Banni: L'Âge du feu, T3",E.E. Knight,Milady,Kindle Edition,448.0,4.09,0
48,214,477,Fantasy Football for Smart People: How to Dominate Your Draft,Jonathan Bales,CreateSpace Independent Publishing Platform,Kindle,132.0,4.0,Fantasy Football for Smart People: A Guide to Winning at Daily Fantasy Sports,Jonathan Bales,,Kindle Edition,178.0,3.39,0
526,386,366,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,Oz and Beyond: The Fantasy World of L. Frank Baum,Michael O. Riley,University Press of Kansas,Hardcover,288.0,3.78,0
867,386,2956,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,The Fantasy Fiction Formula,Deborah Chester,Manchester University Press,Paperback,264.0,4.58,0
711,386,1682,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,The Evolution of Fantasy Role-playing Games,Michael Tresca,McFarland & Company,Paperback,228.0,2.68,0
362,852,2846,The Year's Best Fantasy and Horror: Eighteenth Annual Collection (Year's Best Fantasy & Horror (Paperback)),Ellen Datlow,St. Martin's Griffin,Kindle,608.0,3.8,The Year's Best Fantasy and Horror: Eleventh Annual Collection,Ellen Datlow,St. Martin's Press,Hardcover,624.0,4.01,0
882,404,168,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,"Drawing Mentor 14, Fantasy Drawing",Sarah Bowles,Amazon Digital Services,Kindle Edition,54.0,3.58,0
480,386,98,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,The Making of Final Fantasy: The Spirits Within,Steven L. Kent,Brady Games,Hardcover,240.0,3.93,0
756,386,2094,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,"The Celtic Twilight: Myth, Fantasy and Folklore (Paperback)",W.B. Yeats,Avery Publishing Group,Paperback,160.0,4.07,0
286,171,2431,John Howe Fantasy Drawing Workshop,John Howe,IMPACT,Paperback,128.0,4.4,Fantasy Drawing Workshop,John Howe,Impact,Paperback,128.0,4.19,1
906,404,362,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,A Valentine Fantasy,Carolyn Haywood,William Morrow & Company,Hardcover,32.0,3.88,0
543,386,506,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,The Idea of Galicia: History and Fantasy in Habsburg Political Culture,Larry Wolff,Stanford University Press,Hardcover,486.0,4.12,0
224,2853,1967,Frostgrave: Thaw of the Lich Lord,Joseph A. McCullough,Osprey Publishing,Paperback,64.0,4.8,Frostgrave: Fantasy Wargames in the Frozen City,Joseph McCullough,Osprey Publishing,Hardcover,136.0,4.31,0
1032,404,1263,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,The Science Fiction & Fantasy Quiz Book,Joseph McCullough,Osprey Publishing,Hardcover,192.0,4.23,0
1194,404,2507,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,The Princess and Curdie: A Children's Classic Fantasy Novel,George MacDonald,CreateSpace Independent Publishing Platform,Paperback,110.0,4.06,0
84,2227,740,"Dragons of Spring Dawning (Dragonlance Chronicles, Book 3)",Margaret Weis,Wizards of the Coast,Hardcover,384.0,4.6,The Art of the Dungeons and Dragons Fantasy Game,Margaret Weis,TSR,Paperback,127.0,4.12,0
544,386,511,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,The Haunted House (Fantasy and Horror Classics),Charles Dickens,Fantasy and Horror Classics,Kindle Edition,40.0,3.14,0
174,365,1486,High Fantasy (The Feedback Loop) (Volume 3),Harmon Cooper,CreateSpace Independent Publishing Platform,Paperback,356.0,,High Fantasy,Harmon Cooper,Boycott Books,Kindle Edition,262.0,4.16,0
2368,1403,2200,The Cartel Deluxe Edition: Books 1-3,,Urban Books,Kindle,400.0,,"The Supernatural Bounty Hunter Files: Special Edition Fantasy Bundle, Books 1 thru 5",Craig Halloran,Two-Ten Book Press,Kindle Edition,626.0,4.11,0
453,378,2344,"The Compendium of Fantasy Art Techniques: The Step-by-Step Guide to Creating Fantasy Worlds, Mystical Characters, and the Creatures of Your Own Worst Nightmares",,Barron's Educational Series,Hardcover,288.0,4.8,The Threesome Handbook: Make the Most of Your Favorite Fantasy - the Ultimate Guide for Tri-Curious Singles and Couples,Victoria Vantoch,Thunder's Mouth Press,Paperback,372.0,4.04,0
986,404,929,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,Amanda's Fantasy,Norman Filler,,Kindle Edition,45.0,2.54,0
407,639,2998,Five Seasons Of Angel: Science Fiction and Fantasy Writers Discuss Their Favorite Vampire (Smart Pop series),Glenn Yeffeth,Smart Pop,Hardcover,216.0,4.1,Seven Seasons of Buffy: Science Fiction & Fantasy Writers Discuss Their Favorite Television Show,Glenn Yeffeth,Smart Pop,Paperback,240.0,4.13,0
235,426,2013,FINAL FANTASY X-2 Limited Edition,Dan Birlew,BRADY GAMES,Kindle,96.0,4.6,Final Fantasy X-2 Official Strategy Guide,Dan Birlew,BradyGames,Paperback,352.0,4.07,0
1233,404,2922,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,Witches and Warriors: 5 Fantasy Novels,Annie Bellet,Cornucopia Press,Kindle Edition,1291.0,3.96,0
1076,404,1511,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,Her Island Fantasy,Emma Jay,,Kindle Edition,60.0,3.9,0
1099,404,1665,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,"The Book of Dragons by Edith Nesbit, Fiction, Fantasy & Magic",E. Nesbit,Aegypan,Hardcover,108.0,3.88,0
1179,404,2375,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,"The Year's Best Science Fiction & Fantasy, 2014",Rich Horton,Prime Books,Paperback,575.0,3.65,0
1140,404,2010,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,The Best of Marion Zimmer Bradley Fantasy Magazine Volume 1,Marion Zimmer Bradley,Aspect,Paperback,256.0,3.9,0
1056,404,1372,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,Steel and Shadow: An Epic Fantasy,LaJonn O. Klein,Midnight Sun Publishing,Kindle Edition,125.0,3.82,0
516,386,318,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,How to Draw Fantasy Characters,Christopher Hart,Watson-Guptill,Paperback,64.0,2.92,0
170,1474,1456,Valhalla Rising (Dirk Pitt),Clive Cussler,G.P. Putnam's Sons,Kindle,531.0,4.5,Treasure of Khan: Dirk Pitt #19,Clive Cussler,Penguin,Kindle Edition,704.0,3.89,0
2453,1478,1710,"Kiss Kiss, Bang Bang (Urban Books)",,Urban Books,Paperback,304.0,4.5,Obfuscate - A Paranormal Urban Fantasy,Killion Slade,Draconian Publishing - Spirit,ebook,246.0,4.21,0
781,386,2244,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,The Ghost Stories of Edith Wharton (Fantasy and Horror Classics),Edith Wharton,Fantasy and Horror Classics,Paperback,184.0,3.89,0
568,386,627,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,Fae Fatales: A Fantasy Noir Anthology,Jax Goss,Solarwyrm Press,Paperback,246.0,4.75,0
2601,2008,844,The Trophy Wife (Urban Books),,Urban Books,Hardcover,288.0,4.5,Chaos Rises: A Veil World Urban Fantasy,Pippa DaCosta,Createspace Independent Publishing Platform,Paperback,290.0,3.85,0
825,386,2608,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,Fantasy Art Now: The Very Best in Contemporary Fantasy Art  Illustration,Martin McKenna,Harper Design,Hardcover,192.0,4.07,0
1191,404,2471,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,Finding Her Fantasy,Trista Ann Michaels,Liquid Silver Books,Kindle Edition,122.0,3.91,0
594,386,813,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,Why Fantasy Football Matters (And Our Lives Do Not),Erik Barmack,Gallery Books,Paperback,256.0,3.33,0
850,386,2801,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,"Fantasy Magazine, October 2014: Women Destroy Fantasy! Special Issue",Cat Rambo,John Joseph Adams,Kindle Edition,318.0,4.08,0
157,954,1385,"Atlantis Found (Dirk Pitt, No. 15)",Clive Cussler,G.P. Putnam's Sons,Paperback,704.0,4.4,Cyclops (Dirk Pitt 8),Clive Cussler,DEBOLS!LLO,Kindle Edition,475.0,3.86,0
1164,404,2240,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,THE CASPAK TRILOGY : The Fantasy Novel -,Edgar Rice Burroughs,Unsecretbooks,ebook,1078.0,3.89,0
1077,404,1516,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,Marion Zimmer Bradley's Fantasy Worlds,Marion Zimmer Bradley,Marion Zimmer Bradley Literary Works Trust,Unknown Binding,342.0,4.06,0
92,611,810,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,Paperback,432.0,4.2,"The Magazine of Fantasy and Science Fiction, May/June 2013",Gordon Van Gelder,"Spilogale, Inc.",Kindle Edition,258.0,3.59,0
2529,1490,2735,Supreme Clientele (Urban Books),,Urban Books,Hardcover,304.0,4.7,Angelfire (Dark Angel #1): Urban Fantasy,Hanna Peach,Createspace Independent Publishing Platform,Paperback,294.0,3.65,0
108,509,957,Fantasy Cross Stitch,Lesley Teare,David & Charles,Kindle,112.0,4.3,Fantasy Cross Stitch,Lesley Teare,David & Charles Publishers,Hardcover,105.0,3.85,1
1197,404,2571,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,"The Year's Best Science Fiction & Fantasy, 2012",Rich Horton,Prime Books,Paperback,544.0,3.69,0
179,1222,1594,"The Best Science Fiction and Fantasy of the Year, Vol. 3",Jonathan Strahan,Night Shade Books,Kindle,478.0,3.8,The Best Science Fiction and Fantasy of the Year: Volume Eleven,Jonathan Strahan,Solaris,Paperback,500.0,3.88,0
240,409,2117,The Dreamer and the Fantasy Relationship,Natalie Lue,CreateSpace Independent Publishing Platform,Hardcover,262.0,4.3,The Dreamer and the Fantasy Relationship,Natalie Lue,,Kindle Edition,234.0,4.28,1
575,386,665,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,The Morris-Jumel Mansion Anthology of Fantasy and Paranormal Fiction,Camilla Saly-Monzingo,Smashwords Edition,ebook,,3.75,0
537,386,478,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,The Fantasy Baseball Black Book 2017 Edition (Fantasy Black Book 10),Joe Pisapia,,Kindle Edition,182.0,3.88,0
177,1281,1553,"The Magazine of Fantasy and Science Fiction, July 1969 (Volume 37, No. 1)",Fritz Leiber,Mercury Press,Hardcover,,,"The Big Time by Fritz Leiber, Science Fiction, Fantasy",Fritz Leiber,Aegypan,Hardcover,134.0,3.27,0
218,143,1936,"Fantasy Magazine, Issue 60 (Dec. 2016, People of Colo(u)r Destroy Fantasy! Special Issue) (Volume 60)",Daniel Jos\u00e9 Older,CreateSpace Independent Publishing Platform,Paperback,150.0,5.0,Fantasy Issue 60 - Dec. 2016: People of Colo(u)r Destroy Fantasy! Special Issue,Daniel José Older,John Joseph Adams,Kindle Edition,200.0,4.35,1
1005,404,1072,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,"The Magazine of Fantasy & Science Fiction, September/October 2016",C.C. Finlay,"Spilogale, Inc.",Paperback,258.0,3.79,0
296,1222,2536,"The Best Science Fiction and Fantasy of the Year, Vol. 3",Jonathan Strahan,Night Shade Books,Kindle,478.0,3.8,Eclipse Four: New Science Fiction and Fantasy,Jonathan Strahan,Night Shade Books,Paperback,230.0,3.74,0
136,194,1262,Anatomy for Fantasy Artists: An Essential Guide to Creating Action Figures and Fantastical Forms,Glenn Fabry,Barron's Educational Series,Hardcover,160.0,3.9,Anatomy for Fantasy Artists: An Illustrator's Guide to Creating Action Figures and Fantastical Forms,Glenn Fabry,Barron's Educational Series,Paperback,128.0,3.73,1
1193,404,2504,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,Dragon's Kin: Fantasy,Anne McCaffrey,Corgi,Paperback,,3.9,0
1211,404,2695,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,Year's Best Fantasy 5,David G. Hartwell,Harper Voyager,Paperback,512.0,3.66,0
481,386,99,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,Jan Messent's Knit a Fantasy Story,Jan Messent,Search Press,Paperback,96.0,3.75,0
1128,404,1897,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,Magic Touch: 11 Urban/Paranormal Fantasy Novels,Becca Mills,,ebook,,3.71,0
953,404,701,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,"The Magazine of Fantasy & Science Fiction, May/June 2015",C.C. Finlay,"Spilogale, Inc.",Kindle Edition,,3.63,0
1210,404,2692,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,The Complete Guide to Writing Fantasy: Alchemy with Words,Darin Park,Dragon Moon Press,Paperback,361.0,3.83,0
715,386,1709,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,Dragonart Fantasy Characters: How to Draw Fantastic Beings and Incredible Creatures,Jessica Peffer,Impact,Paperback,128.0,4.37,0
735,386,1941,The Fantasy Benefit: The 2018 Fantasy Baseball Draft Guide,,Independently published,Kindle,361.0,4.9,The Fantasy Stories of George MacDonald,George MacDonald,William B. Eerdmans Publishing Company,Boxed Set,694.0,4.45,0
253,1058,2230,The Mammoth Book of Comic Fantasy (Mammoth Books),Mike Ashley,Running Press,Hardcover,512.0,1.9,Mammoth Book Of Seriously Comic Fantasy,Mike Ashley,Constable & Robinson,Paperback,494.0,3.38,1
1218,404,2730,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,A Midwinter Fantasy,Leanna Renee Hieber,"Dorchester Publishing Company, Inc.",ebook,336.0,3.61,0
318,232,2616,Final Fantasy XII: The Complete Guide,Piggyback,Piggyback Interactive,Paperback,340.0,5.0,Final Fantasy XIII: Complete Official Guide - Collector's Edition,Piggyback,Piggyback,Hardcover,272.0,4.33,0
2449,1478,1379,"Kiss Kiss, Bang Bang (Urban Books)",,Urban Books,Paperback,304.0,4.5,Final Fantasy IX Official Strategy Guide (Video Game Books),Dan Birlew,BradyGames,Paperback,208.0,3.56,0
1084,404,1562,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,The People of the Mist: A Classic Lost Race Fantasy Novel,H. Rider Haggard,Createspace Independent Publishing Platform,Paperback,208.0,3.78,0
1002,404,1046,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,Kindle,245.0,4.2,Ever in the After: 13 Fantasy Tales,Melle Amade,,Paperback,,4.57,0
