_id,ltable_ID,rtable_ID,ltable_Name,ltable_Author,ltable_Publisher,ltable_Publishing_Date,ltable_Format,ltable_Pages,ltable_Rating,rtable_Name,rtable_Author,rtable_Publisher,rtable_Publishing_Date,rtable_Format,rtable_Pages,rtable_Rating,match
21,69,1477,Democracy and Other Neoliberal Fantasies: Communicative Capitalism and Left Politics,Jodi Dean,Duke University Press,9/2/2009,Hardcover,232,4,Democracy and Other Neoliberal Fantasies: Communicative Capitalism and Left Politics,Jodi Dean,Duke University Press Books,9/2/2009,Paperback,232,3.88,1
22,79,2772,The Year's Best Fantasy and Horror: Twelfth Annual Collection (No. 12),Terri Windling,St. Martin's Griffin,7/30/1999,Hardcover,624,4.3,The Year's Best Fantasy and Horror: Fourteenth Annual Collection,Ellen Datlow,St. Martin's Griffin,8/31/2001,Paperback,640,3.99,0
23,79,2775,The Year's Best Fantasy and Horror: Twelfth Annual Collection (No. 12),Terri Windling,St. Martin's Griffin,7/30/1999,Hardcover,624,4.3,The Year's Best Fantasy and Horror: Eighth Annual Collection,Ellen Datlow,St. Martin's Griffin,8/15/1995,Paperback,644,4.07,0
24,79,2914,The Year's Best Fantasy and Horror: Twelfth Annual Collection (No. 12),Terri Windling,St. Martin's Griffin,7/30/1999,Hardcover,624,4.3,The Year's Best Fantasy and Horror: Twelfth Annual Collection,Ellen Datlow,St. Martin's Griffin,7/30/1999,Paperback,624,4.03,1
25,79,3000,The Year's Best Fantasy and Horror: Twelfth Annual Collection (No. 12),Terri Windling,St. Martin's Griffin,7/30/1999,Hardcover,624,4.3,The Year's Best Fantasy and Horror: Nineteenth Annual Collection,Ellen Datlow,St. Martin's Griffin,11/15/2006,Paperback,608,4.05,0
26,86,2720,Fantasy Genesis: A Creativity Game for Fantasy Artists,Chuck Lukacs,IMPACT Books,3/10/2010,Kindle,144,4.4,Fantasy Genesis: A Creativity Game for Fantasy Artists,Chuck Lukacs,IMPACT,3/10/2010,Paperback,144,4.38,1
27,92,1630,Flesh for Fantasy: Producing and Consuming Exotic Dance,Merri Lisa Johnson,Seal Press,12/21/2005,Paperback,272,4.4,Flesh for Fantasy: Producing and Consuming Exotic Dance,R. Danielle Egan,Seal Press,12/21/2005,Paperback,272,3.98,1
28,100,407,Dreamscapes Magical Menagerie: Creating Fantasy Creatures and Animals with Watercolor,Stephanie Pui-Mun Law,IMPACT Books,7/20/2012,Kindle,176,4.9,Dreamscapes Magical Menagerie: Creating Fantasy Creatures and Animals with Watercolor,Stephanie Pui-Mun Law,Impact,7/20/2012,Paperback,176,4.69,1
29,101,1587,Fantasy,Ben Fama,Ugly Duckling Presse,4/1/2015,Kindle,88,4.5,Fantasy II,K. Elliott,,,Kindle Edition,,4.4,0
30,101,2693,Fantasy,Ben Fama,Ugly Duckling Presse,4/1/2015,Kindle,88,4.5,Fantasy,Ben Fama,Ugly Duckling Presse,4/1/2015,Paperback,88,4.18,1
31,101,2725,Fantasy,Ben Fama,Ugly Duckling Presse,4/1/2015,Kindle,88,4.5,Fantasy,Yuuho Ashibe,,,,,2.58,0
32,102,2013,Final Fantasy Origins: Official Strategy Guide,Casey Loe,BradyGames,4/19/2003,Hardcover,256,4.6,Final Fantasy X-2 Official Strategy Guide,Dan Birlew,BradyGames,11/13/2003,Paperback,352,4.07,0
33,102,2378,Final Fantasy Origins: Official Strategy Guide,Casey Loe,BradyGames,4/19/2003,Hardcover,256,4.6,Final Fantasy VIII Official Strategy Guide,David Cassady,BradyGames,8/31/1999,Paperback,272,4.25,0
34,107,2806,Who's Been Sleeping in Your Head: The Secret World of Sexual Fantasies,Brett Kahr,Basic Books,1/27/2009,Paperback,512,3.8,Who's Been Sleeping in Your Head?: The Secret World of Sexual Fantasy,Brett Kahr,Basic Books (AZ),2/1/2008,Hardcover,493,3.56,1
35,114,2876,Drawing and Painting Fantasy Landscapes and Cityscapes,Martin McKenna,Barron's Educational Series,7/1/2006,Hardcover,128,4.3,Drawing and Painting Fantasy Landscapes and Cityscapes,Rob Alexander,Barron's Educational Series,7/1/2006,Paperback,128,4.16,1
36,136,281,"Fairies, Gnomes & Trolls: Create a Fantasy World in Polymer Clay",Maureen Carlson,North Light Books,11/20/2006,Hardcover,128,4.6,"Fairies, Gnomes & Trolls: Create a Fantasy World in Polymer Clay",Maureen Carlson,North Light Books,11/20/2006,Paperback,127,4.15,1
37,138,2965,The Art of Final Fantasy IX,Dan Birlew,Brady Games,12/8/2000,Kindle,160,4.3,The Art of Final Fantasy IX,Dan Birlew,BradyGames,12/8/2000,Paperback,160,4.38,1
38,142,477,Fantasy Baseball for Smart People: The Art (and Science) of Being Contrarian in DFS,Jonathan Bales,CreateSpace Independent Publishing Platform,3/6/2016,Paperback,162,4.9,Fantasy Football for Smart People: A Guide to Winning at Daily Fantasy Sports,Jonathan Bales,,,Kindle Edition,178,3.39,0
39,143,1936,"Fantasy Magazine, Issue 60 (Dec. 2016, People of Colo(u)r Destroy Fantasy! Special Issue) (Volume 60)",Daniel Jos\u00e9 Older,CreateSpace Independent Publishing Platform,12/1/2016,Paperback,150,5,Fantasy Issue 60 - Dec. 2016: People of Colo(u)r Destroy Fantasy! Special Issue,Daniel José Older,John Joseph Adams,12/1/2016,Kindle Edition,200,4.35,0
40,144,2420,The Guide to Writing Fantasy and Science Fiction: 6 Steps to Writing and Publishing Your Bestseller!,Philip Athans,Adams Media,7/18/2010,Kindle,256,4,The Guide to Writing Fantasy and Science Fiction: 6 Steps to Writing and Publishing Your Bestseller!,Philip Athans,Adams Media,7/18/2010,Paperback,256,3.92,1
41,148,1602,The Fantasy of Feminist History (Next Wave Provocations),Joan Wallach Scott,Duke University Press Books,11/11/2011,Hardcover,200,4,The Fantasy of Feminist History,Joan Wallach Scott,Duke University Press Books,11/11/2011,Paperback,200,3.58,1
42,168,478,The Fantasy Baseball Black Book 2017 Edition (Fantasy Black Book),Joe Pisapia,Independently published,1/17/2017,Paperback,182,4.1,The Fantasy Baseball Black Book 2017 Edition (Fantasy Black Book 10),Joe Pisapia,,,Kindle Edition,182,3.88,1
43,171,2431,John Howe Fantasy Drawing Workshop,John Howe,IMPACT,10/29/2009,Paperback,128,4.4,Fantasy Drawing Workshop,John Howe,Impact,10/1/2009,Paperback,128,4.19,1
44,204,2885,Beyond My Control: Forbidden Fantasies in an Uncensored Age,Nancy Friday,Sourcebooks,4/1/2009,Kindle,288,3.2,Beyond My Control: Forbidden Fantasies in an Uncensored Age,Nancy Friday,Sourcebooks,4/1/2009,Paperback,271,3.28,1
45,209,1666,Shared Fantasy: Role Playing Games as Social Worlds,Gary Alan Fine,University of Chicago Press,8/14/2002,Kindle,298,3.7,Shared Fantasy: Role Playing Games as Social Worlds,Gary Alan Fine,University Of Chicago Press,8/14/2002,Paperback,298,3.91,1
46,227,2274,Animals Real and Imagined: Fantasy of What Is and What Might Be,Terryl Whitlatch,Design Studio Press,12/1/2010,Kindle,160,4.8,Animals Real and Imagined: The Fantasy of What Is and What Might Be,Terryl Whitlatch,Design Studio Press,12/1/2010,Paperback,159,4.55,1
47,251,1230,The Ultimate Guide to Sexual Fantasy: How to Turn Your Fantasies into Reality,Violet Blue,Cleis Press,8/18/2004,Hardcover,250,4.3,The Ultimate Guide to Sexual Fantasy: How to Turn Your Fantasies into Reality (Ultimate Guides Series),Violet Blue,Cleis Press,8/18/2004,Paperback,250,3.96,1
48,262,357,"The Anatomy of National Fantasy: Hawthorne, Utopia, and Everyday Life",Lauren Berlant,University of Chicago Press,8/13/1991,Kindle,278,4,"The Anatomy of National Fantasy: Hawthorne, Utopia, and Everyday Life",Lauren Berlant,University Of Chicago Press,8/13/1991,Paperback,278,3.71,1
49,263,844,Chaos Rises: A Veil World Urban Fantasy (Volume 1),Pippa DaCosta,CreateSpace Independent Publishing Platform,6/4/2016,Kindle,288,4.3,Chaos Rises: A Veil World Urban Fantasy,Pippa DaCosta,Createspace Independent Publishing Platform,6/4/2016,Paperback,290,3.85,1
50,271,2198,The Year's Best Dark Fantasy & Horror 2014 Edition,Laird Barron,Prime Books,6/17/2014,Kindle,576,4.1,"The Year's Best Dark Fantasy & Horror, 2015 Edition",Paula Guran,Prime Books,7/3/2015,Kindle Edition,576,3.61,0
51,347,2615,Grimgar of Fantasy and Ash (Light Novel) Vol. 2,Ao Jyumonji,Seven Seas,8/8/2017,Hardcover,280,4.3,Grimgar of Fantasy and Ash: Volume 3,Ao Jyumonji,J-Novel Club,4/22/2017,Kindle Edition,280,4.26,0
52,347,2847,Grimgar of Fantasy and Ash (Light Novel) Vol. 2,Ao Jyumonji,Seven Seas,8/8/2017,Hardcover,280,4.3,Grimgar of Fantasy and Ash: Volume 2,Ao Jyumonji,J-Novel Club,2/24/2017,Kindle Edition,280,4.1,1
53,347,2888,Grimgar of Fantasy and Ash (Light Novel) Vol. 2,Ao Jyumonji,Seven Seas,8/8/2017,Hardcover,280,4.3,"Grimgar of Fantasy and Ash, Vol. 1",Ao Jyumonji,Yen Press,6/20/2017,Paperback,224,3.43,0
54,350,1292,How to Write Science Fiction & Fantasy,Orson Scott Card,Writer's Digest Books,9/15/2001,Paperback,140,4.2,Women in Science Fiction and Fantasy,Robin Anne Reid,,,,,3.17,0
55,367,889,His Fantasy,Sheila Kell,Cunningham Publishing,2/6/2018,Paperback,,,The Fantasy,Nicole   Ryan,,,Kindle Edition,17,4,0
56,367,1272,His Fantasy,Sheila Kell,Cunningham Publishing,2/6/2018,Paperback,,,Alien Fantasy,Raeden West,,,Kindle Edition,1112,3.17,0
57,367,1341,His Fantasy,Sheila Kell,Cunningham Publishing,2/6/2018,Paperback,,,His Fantasy,Sheila Kell,Cunningham Books,2/6/2018,Kindle Edition,,4.67,1
58,372,1401,The Prentice Hall Anthology of Science Fiction and Fantasy,Jack Williamson,Pearson,7/28/2000,Paperback,1184,4.6,The Prentice Hall Anthology of Science Fiction and Fantasy,Garyn G. Roberts,Pearson,7/28/2000,Paperback,1184,4.32,0
59,373,1709,DragonArt Fantasy Characters: How to Draw Fantastic Beings and Incredible Creatures,"J ""NeonDragon"" Peffer",Impact,8/27/2007,Kindle,,4.4,Dragonart Fantasy Characters: How to Draw Fantastic Beings and Incredible Creatures,Jessica Peffer,Impact,9/1/2007,Paperback,128,4.37,
60,377,2616,Final Fantasy XIII: Complete Official Guide - Standard Edition,Piggyback,Piggyback,3/9/2010,Hardcover,256,4.6,Final Fantasy XIII: Complete Official Guide - Collector's Edition,Piggyback,Piggyback,3/9/2010,Hardcover,272,4.33,0
61,379,1709,Dragonart: How to Draw Fantastic Dragons and Fantasy Creatures,"Jessica ""Neon Dragon"" Peffer",IMPACT Books,9/25/2005,Paperback,128,4.6,Dragonart Fantasy Characters: How to Draw Fantastic Beings and Incredible Creatures,Jessica Peffer,Impact,9/1/2007,Paperback,128,4.37,1
62,382,2956,The Fantasy Fiction Formula,Deborah Chester,Manchester University Press,2/1/2016,Hardcover,264,4.8,The Fantasy Fiction Formula,Deborah Chester,Manchester University Press,2/1/2016,Paperback,264,4.58,1
63,387,2615,Grimgar of Fantasy and Ash (Light Novel) Vol. 4,Ao Jyumonji,Seven Seas,12/12/2017,Kindle,280,4.4,Grimgar of Fantasy and Ash: Volume 3,Ao Jyumonji,J-Novel Club,4/22/2017,Kindle Edition,280,4.26,0
64,387,2847,Grimgar of Fantasy and Ash (Light Novel) Vol. 4,Ao Jyumonji,Seven Seas,12/12/2017,Kindle,280,4.4,Grimgar of Fantasy and Ash: Volume 2,Ao Jyumonji,J-Novel Club,2/24/2017,Kindle Edition,280,4.1,0
65,387,2888,Grimgar of Fantasy and Ash (Light Novel) Vol. 4,Ao Jyumonji,Seven Seas,12/12/2017,Kindle,280,4.4,"Grimgar of Fantasy and Ash, Vol. 1",Ao Jyumonji,Yen Press,6/20/2017,Paperback,224,3.43,0
66,390,1270,Fighting Fantasy:The Warlock of Firetop Mountain,Steve Jackson,Scholastic,8/3/2017,Kindle,232,4.6,Fighting Fantasy: The Introductory Role-playing Game,Steve   Jackson,Puffin Books,5/31/1984,Paperback,240,3.56,0
67,400,2203,Legends: Stories By The Masters of Modern Fantasy,Robert Silverberg,Tor Fantasy,,Hardcover,715,4.4,Legends II: New Short Novels by the Masters of Modern Fantasy,Robert Silverberg,Del Rey Books,5/10/2014,ebook,,3.92,0
68,401,2995,"Official Final Fantasy VII Strategy Guide, Playstation Version (v. 1)",David Cassady,BRADY GAMES,8/28/1997,Paperback,224,4.3,Official Final Fantasy VII Strategy Guide,David Cassady,Brady Games,8/28/1997,Paperback,224,4.39,0
69,403,2720,Fantasy Genesis Characters: A creativity game for drawing original people and creatures,Chuck Lukacs,IMPACT Books,3/20/2018,Kindle,144,,Fantasy Genesis: A Creativity Game for Fantasy Artists,Chuck Lukacs,IMPACT,3/10/2010,Paperback,144,4.38,0
70,404,845,The Amazing Spider-Man & Amazing Fantasy No.15,,Barnes & Noble,2003-0-0,Kindle,245,4.2,The Amazing Spider-Man & Amazing Fantasy No.15,Stan Lee,Barnes & Noble,1/1/2003,Paperback,245,4.22,1
71,419,1074,Your Presidential Fantasy Dream Team,Daniel O'Brien,Crown Books for Young Readers,6/28/2016,Kindle,272,4.6,Your Presidential Fantasy Dream Team,Daniel  O'Brien,Crown Books for Young Readers,7/12/2016,Hardcover,272,4.07,1
72,436,2615,Grimgar of Fantasy and Ash (Light Novel) Vol. 8,Ao Jyumonji,Seven Seas,10/30/2018,Kindle,280,,Grimgar of Fantasy and Ash: Volume 3,Ao Jyumonji,J-Novel Club,4/22/2017,Kindle Edition,280,4.26,0
73,436,2847,Grimgar of Fantasy and Ash (Light Novel) Vol. 8,Ao Jyumonji,Seven Seas,10/30/2018,Kindle,280,,Grimgar of Fantasy and Ash: Volume 2,Ao Jyumonji,J-Novel Club,2/24/2017,Kindle Edition,280,4.1,0
74,451,2615,Grimgar of Fantasy and Ash (Light Novel) Vol. 7,Ao Jyumonji,Seven Seas,7/10/2018,Kindle,280,,Grimgar of Fantasy and Ash: Volume 3,Ao Jyumonji,J-Novel Club,4/22/2017,Kindle Edition,280,4.26,0
75,451,2847,Grimgar of Fantasy and Ash (Light Novel) Vol. 7,Ao Jyumonji,Seven Seas,7/10/2018,Kindle,280,,Grimgar of Fantasy and Ash: Volume 2,Ao Jyumonji,J-Novel Club,2/24/2017,Kindle Edition,280,4.1,0
76,478,285,Final Fantasy VII Official Strategy Guide (Official Strategy Guides) (v. 2),David Cassady,BRADY GAMES,6/12/1998,Kindle,320,4.3,Final Fantasy VII: Official Strategy Guide,David Cassady,Bradygames,6/12/1998,Paperback,319,3.7,0
77,484,407,Dreamscapes Fantasy Worlds: Create Engaging Scenes and Landscapes in Watercolor,Stephanie Pui-Mun Law,IMPACT Books,12/23/2014,Paperback,176,4.9,Dreamscapes Magical Menagerie: Creating Fantasy Creatures and Animals with Watercolor,Stephanie Pui-Mun Law,Impact,7/20/2012,Paperback,176,4.69,0
78,487,2762,Final Fantasy Type-0,Hiroki Chiba,Yen Press,9/22/2015,Kindle,192,4.3,Final Fantasy Type-0,Hiroki Chiba,Yen Press,9/22/2015,Paperback,192,3.24,1
79,488,663,Fantasies of a Bollywood Love Thief: Inside the World of Indian Moviemaking,Stephen Alter,Mariner Books,8/6/2007,Kindle,260,4.7,Fantasies of a Bollywood Love Thief: Inside the World of Indian Moviemaking,Stephen Alter,Mariner Books,8/6/2007,Paperback,272,3.43,1
80,497,2681,"Final Fantasy Type-0 Side Story, Vol. 1: The Ice Reaper (Final Fantasy 0-Type)",Tetsuya Nomura,Yen Press,7/21/2015,Paperback,176,5,"Final Fantasy Type-0 Side Story, Vol. 1: The Ice Reaper",Tetsuya Nomura,Yen Press,7/21/2015,Paperback,176,3.96,1
81,509,957,Fantasy Cross Stitch,Lesley Teare,David & Charles,2/27/2008,Kindle,112,4.3,Fantasy Cross Stitch,Lesley Teare,David & Charles Publishers,4/1/2008,Hardcover,105,3.85,1
82,515,1681,Worlds Apart: An Anthology of Russian Fantasy and Science Fiction,Alexander Levitsky,The Overlook Press,7/29/2008,Kindle,656,3.6,Worlds Apart: An Anthology of Russian Science Fiction and Fantasy,Alexander Levitsky,The Overlook Press,8/16/2007,Hardcover,655,4.02,1
83,519,1713,"Fantasies of the Master Race: Literature, Cinema, and the Colonization of American Indians",Ward Churchill,City Lights Publishers,1/1/2001,Paperback,261,4.1,"Fantasies of the Master Race: Literature, Cinema & the Colonization of American Indians",Ward Churchill,City Lights Publishers,1/1/2001,Paperback,261,3.88,1
84,524,885,Lightning Returns: Final Fantasy XIII: The Complete Official Guide,Piggyback,Piggyback,2/11/2014,Hardcover,320,4.6,Lightning Returns: Final Fantasy XIII: The Complete Official Guide - Collector's Edition,Piggyback,Piggyback,2/11/2014,Hardcover,352,4.38,1
85,524,2418,Lightning Returns: Final Fantasy XIII: The Complete Official Guide,Piggyback,Piggyback,2/11/2014,Hardcover,320,4.6,Final Fantasy XIII-2: The Complete Official Guide,Piggyback,Prima Games,1/31/2012,Paperback,304,4.36,0
86,527,2002,8: The Year's Best Science Fiction & Fantasy 2016 Edition (Year's Best Science Fiction and Fantasy),Rich Horton,Prime Books,6/21/2016,Hardcover,576,3.9,The Year's Best Science Fiction & Fantasy 2015 Edition,Rich Horton,Prime Books,6/2/2015,Kindle Edition,576,3.63,0
87,529,97,Dismantling the Fantasy: An Invitation to the Fullness of Life,Darryl Bailey,Non-Duality,4/30/2010,Hardcover,112,4.2,Dismantling the Fantasy: An Invitation to the Fullness of Life,Darryl Bailey,Non-Duality,4/30/2010,Paperback,112,4.26,1
88,538,2418,Final Fantasy XIII-2 - The Complete Official Guide,Piggyback,Piggyback Interactive,1/31/2012,Hardcover,304,4.5,Final Fantasy XIII-2: The Complete Official Guide,Piggyback,Prima Games,1/31/2012,Paperback,304,4.36,1
89,547,1743,The Book of Fantasy,Jorge Luis Borges,Carroll & Graf Pub,8/1/1990,Paperback,,3.3,The Book of Fantasy,Jorge Luis Borges,Viking Books,11/1/1988,Hardcover,384,4.37,1
90,557,2957,The Chinese Language: Fact and Fantasy,John DeFrancis,University of Hawaii Press,3/1/1986,Hardcover,342,3.5,The Chinese Language: Fact and Fantasy,John DeFrancis,University of Hawaii Press,3/1/1986,Paperback,331,3.76,1
91,561,933,Rolemaster Fantasy Role Playing,Coleman Charlton,Iron Crown Enterprises,5/1/1999,Paperback,260,4.6,Rolemaster Fantasy Role Playing,ICE Staff,Iron Crown Enterprises,5/1/1999,Hardcover,255,3.74,1
92,563,1682,The Evolution of Fantasy Role-Playing Games,Michael J. Tresca,McFarland,11/16/2010,Kindle,238,4.1,The Evolution of Fantasy Role-playing Games,Michael Tresca,McFarland & Company,11/21/2010,Paperback,228,2.68,1
93,564,1407,Children's Fantasy Literature: An Introduction,Michael Levy,Cambridge University Press,4/16/2016,Kindle,282,5,Children's Fantasy Literature,Michael    Levy,Cambridge University Press,8/3/2016,Hardcover,284,4.09,1
94,573,207,Final Fantasy XII: Limited Edition Guide,Joe Epstein,Bradygames,2006-0-0,Kindle,,4.4,Final Fantasy XII Limited Edition Guide,Wes Erhlichman,Bradygames,10/4/2006,Leather Bound,176,4.03,1
95,595,2851,Private Fantasies (Harlequin Temptation No. 682),Janelle Denison,Harlequin,4/1/1998,Paperback,217,3.2,Intimate Fantasy (Harlequin Temptation No. 840),Julie Kenner,Harlequin,7/1/2001,Paperback,224,2.96,0
96,607,767,Fantasy Begins: Book 1 of The Dungeon Hive Trilogy (Volume 1),Roy Lim,CreateSpace Independent Publishing Platform,8/29/2017,Kindle,338,3.7,Fantasy Begins: Book 1 of the Dungeon Hive Trilogy,Roy Lim,,,Kindle Edition,337,3.87,1
97,611,481,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,7/15/2014,Paperback,432,4.2,"The Magazine of Fantasy & Science Fiction, Sept/Oct 2013",Gordon Van Gelder,"Spilogale, Inc.",9/1/2013,Kindle Edition,,3.5,0
98,611,522,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,7/15/2014,Paperback,432,4.2,"The Magazine of Fantasy & Science Fiction, November/December 2014",Gordon Van Gelder,"Spilogale, Inc.",10/25/2014,Kindle Edition,,3.71,0
99,611,847,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,7/15/2014,Paperback,432,4.2,"The Magazine of Fantasy & Science Fiction, September/October 2014",Gordon Van Gelder,"Spilogale, Inc.",8/25/2014,Kindle Edition,,3.73,0
100,611,967,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,7/15/2014,Paperback,432,4.2,"Fantasy & Science Fiction, Jan/Feb 2013",Gordon Van Gelder,"Spilogale, Inc.",1/1/2013,Paperback,,3.63,0
101,611,1162,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,7/15/2014,Paperback,432,4.2,"Fantasy & Science Fiction, May/June 2014",Gordon Van Gelder,"Spilogale, Inc.",4/25/2014,Kindle Edition,,3.83,0
102,611,1593,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,7/15/2014,Paperback,432,4.2,"The Magazine of Fantasy & Science Fiction, March/April 2015",Gordon Van Gelder,"Spilogale, Inc.",2/27/2015,Kindle Edition,,4.03,0
103,611,2994,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,7/15/2014,Paperback,432,4.2,"The Very Best of Fantasy & Science Fiction, Volume 2",Gordon Van Gelder,Tachyon Publications,7/15/2014,Paperback,432,4.06,1
